Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
30000,0.4372615,109.62903225806451,0.30262014,0.60524386,0.8903709635619195,0.8903709635619195,0.4907632746260553,0.006356108,0.06644883,0.0002995081,0.19983603,0.009983621,0.02510407,0.026047057,1.0
60000,0.66065276,247.8139534883721,0.17167124,0.7180614,0.752186031882153,0.752186031882153,1.4285076819360256,0.005044292,0.071474,0.00029866182,0.19955395,0.009955438,0.021564264,0.02721081,1.0
90000,0.5909271,516.1011235955057,0.1657932,0.7567126,0.13530334487055126,0.13530334487055126,3.2662987483435133,0.03336289,0.07076743,0.0002977565,0.19925214,0.00992529,0.026174365,0.02010912,1.0
120000,0.601495,383.2535211267606,0.19403782,0.6843841,0.4899154697925272,0.4899154697925272,1.9349304055139211,0.0055635246,0.069087334,0.00029687397,0.19895801,0.009895903,0.02447226,0.02352965,1.0
150000,0.6790113,453.0422535211268,0.17976971,0.72613424,0.2791661777546708,0.2791661777546708,3.1480611565352326,0.01694857,0.07546444,0.00029594704,0.19864902,0.009865037,0.028527608,0.055876207,1.0
180000,0.612496,350.03333333333336,0.220312,0.74077654,0.5387888721293873,0.5387888721293873,2.082050027284357,0.39852947,0.07250297,0.00029503033,0.19834343,0.00983451,0.036132902,0.029038038,1.0
210000,0.6887461,316.5657894736842,0.16414931,0.90143585,0.5873546519875527,0.5873546519875527,5.364991072124491,0.08202123,0.06900362,0.00029413664,0.19804554,0.00980475,0.033690136,0.027851054,1.0
240000,0.7541643,416.77906976744185,0.21224716,0.77212214,0.3796804377744938,0.3796804377744938,2.90078051216986,0.016621698,0.06653517,0.00029323637,0.19774546,0.0097747715,0.030900981,0.036124803,1.0
270000,0.81016934,350.48,0.20369327,0.683802,0.5027653143803279,0.5027653143803279,1.8838444033047805,0.0062360694,0.06891595,0.00029233866,0.19744621,0.009744875,0.024220482,0.027772725,1.0
300000,0.83891463,389.8333333333333,0.11774231,0.78318024,0.45622305954113984,0.45622305954113984,1.9967695637934435,0.012077367,0.07226364,0.00029144468,0.19714823,0.009715108,0.026633358,0.03871859,1.0
