Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
120000,1.2481929,-0.0037995724,3.5654032,0.050207853,0.07491154,0.00029682048,0.19894016,0.009894121,0.1104853,0.30512843,9999.0,0.05981818385506896,0.05981818385506896,222.20126679404214,1.0
150000,1.1729254,0.04009816,3.4241111,8.763074,0.069308355,0.00029593921,0.19864641,0.009864775,0.50524735,0.56618184,None,0.07100000267382711,0.07100000267382711,243.9134158194065,1.0
180000,0.87850785,0.016869236,4.635687,0.1454227,0.06887888,0.00029506366,0.19835456,0.00983562,0.17287417,0.39809045,None,None,None,None,1.0
210000,0.9372655,0.03186767,5.098691,0.15778627,0.07221827,0.00029414208,0.19804735,0.009804931,0.095918916,0.25098237,None,None,None,None,1.0
240000,1.1465417,0.001699231,3.2373607,0.049741652,0.06961832,0.00029322048,0.19774017,0.0097742425,0.06572923,0.13499914,9999.0,0.04881818347017874,0.04881818347017874,383.38783365504986,1.0
270000,0.9269286,-0.10695075,3.1469903,9.260413,0.0654162,0.00029233922,0.1974464,0.009744894,0.2867747,0.4141509,None,0.03800000133924186,0.03800000133924186,520.4027031213045,1.0
300000,1.1037041,-0.014199354,3.2853947,0.13161638,0.07102902,0.0002914637,0.19715455,0.009715741,0.22382045,1.3026258,None,None,None,None,1.0
330000,1.1230512,-0.0009808921,2.7383368,0.20588918,0.069916405,0.00029054208,0.19684736,0.009685052,0.16539472,1.3475962,None,None,None,None,1.0
360000,1.1052758,0.06815617,3.9961908,0.04364405,0.07007805,0.00028962048,0.19654015,0.009654363,0.14215341,0.295485,9999.0,0.07109091108114543,0.07109091108114543,444.9084782751108,1.0
390000,1.035246,0.009731814,2.7729528,0.18905133,0.07223836,0.00028873922,0.1962464,0.009625015,0.17696565,0.35391024,None,0.07000000216066837,0.07000000216066837,393.2569350209087,1.0
420000,0.9276802,0.0061550597,1.9636309,0.020826485,0.074730895,0.00028786372,0.19595456,0.009595861,0.105031274,1.4302962,None,None,None,None,1.0
