Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
120000,1.3636729,0.0010491222,-0.00095684995,6.8343674e-05,0.06896645,0.00029682048,0.19894016,0.009894121,0.16793548,0.4508052,9999.0,0.027545455504547466,0.027545455504547466,0.014967461304091888,1.0
150000,1.3601654,0.0017102029,0.001601046,0.00011099506,0.069390066,0.00029593921,0.19864641,0.009864775,0.13787349,0.8225086,None,0.03700000140815973,0.03700000140815973,0.011394695632588991,1.0
180000,1.2809701,-0.006047592,0.0021749123,1.6447499e-05,0.067511484,0.00029506366,0.19835456,0.00983562,0.049081426,0.7198794,None,None,None,None,1.0
210000,1.2342888,-0.013992553,0.0074075605,5.1855306e-05,0.06867641,0.00029414208,0.19804735,0.009804931,0.09121697,0.5492777,None,None,None,None,1.0
240000,1.0933658,-0.012005913,0.005076993,2.0037103e-05,0.06885965,0.00029322048,0.19774017,0.0097742425,0.08147307,0.38035905,9999.0,0.00972727309404449,0.00972727309404449,0.013211024468101972,1.0
270000,1.2903935,0.0020743592,0.0054447884,0.00017156087,0.069622286,0.00029233922,0.1974464,0.009744894,0.38745657,0.66831064,None,0.006000000168569386,0.006000000168569386,0.016397110264733783,1.0
300000,1.2546016,0.00032409708,0.0008971138,1.50637425e-05,0.0688309,0.0002914637,0.19715455,0.009715741,0.17080808,0.4209748,None,None,None,None,1.0
330000,1.2897842,0.010732022,-0.01084739,4.585303e-05,0.07176292,0.00029054208,0.19684736,0.009685052,0.21897891,0.4872404,None,None,None,None,1.0
360000,1.2726681,0.0054182024,-0.006392306,6.553039e-06,0.06844632,0.00028962048,0.19654015,0.009654363,0.118311465,0.24368815,9999.0,0.010272727718322792,0.010272727718322792,0.031946049419068666,1.0
390000,1.1236409,0.00530358,0.00047306367,0.00010865228,0.070506714,0.00028873922,0.1962464,0.009625015,0.2146977,0.44889587,None,0.015000000479631126,0.015000000479631126,0.022850833004667948,1.0
420000,1.1083891,-0.00030263353,-0.001405309,1.0968503e-05,0.06541776,0.00028786372,0.19595456,0.009595861,0.10031726,0.27989307,None,None,None,None,1.0
450000,1.0345538,-0.0031989154,-0.0044972645,1.2761838e-05,0.07126562,0.00028694206,0.19564736,0.009565172,0.1087106,0.25261956,None,None,None,None,1.0
480000,1.1225884,0.0016039239,-0.00139153,3.4603883e-05,0.07110745,0.00028602048,0.19534016,0.009534481,0.14889869,0.46638647,9999.0,0.016454546109095892,0.016454546109095892,0.02367824392662111,1.0
510000,0.83308655,0.03155697,-0.010199773,0.00026187924,0.07243533,0.0002851392,0.19504641,0.009505134,0.15078762,0.75974965,None,0.014000000432133675,0.014000000432133675,0.011438625529990532,1.0
540000,0.603311,0.010855914,-0.0015832578,4.845143e-07,0.067670226,0.0002842637,0.19475457,0.009475979,0.020391693,0.25695154,None,None,None,None,1.0
570000,0.79669386,0.0026550638,-0.0017204188,6.66888e-06,0.06747627,0.00028334212,0.19444735,0.009445292,0.017904466,0.37050262,None,None,None,None,1.0
600000,0.9517768,0.00085796806,-4.4753073e-05,7.752752e-06,0.06888546,0.0002824205,0.19414017,0.009414601,0.012206161,0.40698057,9999.0,0.033181819281625474,0.033181819281625474,0.008585461645656796,1.0
630000,0.8015255,0.0020996565,0.0062400154,5.3198833e-05,0.06960568,0.0002815392,0.1938464,0.009385254,0.23446427,0.38963655,None,0.03500000073108822,0.03500000073108822,0.009892087835908114,1.0
660000,0.9821858,0.00027566552,-0.0010144084,7.774548e-06,0.07036744,0.0002806637,0.19355457,0.009356101,0.14901063,0.42779034,None,None,None,None,1.0
690000,0.96627074,-0.0004655064,-0.004266385,9.000965e-06,0.06616652,0.0002797421,0.19324735,0.009325411,0.05284185,0.37957704,None,None,None,None,1.0
720000,0.9365464,-0.00084752345,-0.002021503,8.905707e-06,0.06901715,0.0002788205,0.19294015,0.009294721,0.031713437,0.2774169,9999.0,0.033000001017088915,0.033000001017088915,0.020156668460923687,1.0
750000,0.9742975,-0.0010381774,0.0033962347,1.393085e-05,0.068164736,0.00027793922,0.1926464,0.009265374,0.13436808,0.6388562,None,0.04200000094715506,0.04200000094715506,0.016466058723437982,1.0
780000,1.1769333,0.00024780977,0.0023169518,1.1864667e-05,0.06599462,0.0002770637,0.19235456,0.009236219,0.09314765,0.22803311,None,None,None,None,1.0
810000,1.1993135,-0.0021212464,0.003989002,5.9192557e-06,0.07235964,0.0002761421,0.19204736,0.00920553,0.05458991,0.16458644,None,None,None,None,1.0
840000,1.3081467,-0.000185702,0.0021556593,2.128403e-05,0.06858853,0.0002752205,0.19174016,0.009174841,0.08503251,0.25485802,9999.0,0.03827272800051353,0.03827272800051353,0.013195619002420823,1.0
870000,1.2494239,-0.0018198603,0.002710871,3.306671e-05,0.06882144,0.00027433923,0.19144641,0.009145495,0.35754675,0.828346,None,0.03200000000651926,0.03200000000651926,0.010214528228971176,1.0
900000,1.036406,-5.440701e-05,0.0017680648,2.8020697e-06,0.07033806,0.0002734637,0.19115455,0.0091163395,0.29842073,1.5260795,None,None,None,None,1.0
930000,0.9770557,0.0007497011,0.0015004491,8.921876e-06,0.069026105,0.0002725421,0.19084737,0.009085651,0.25813425,1.0795343,None,None,None,None,1.0
960000,1.090241,0.0009798498,0.0013672434,7.410932e-08,0.06954909,0.00027162052,0.19054016,0.009054962,0.10137876,0.5271266,9999.0,0.04945454687218775,0.04945454687218775,0.0426683673125064,1.0
990000,0.9429419,0.002219177,0.00141585,2.717043e-05,0.07135592,0.00027073923,0.1902464,0.009025615,0.16578275,0.34617504,None,0.04200000059790909,0.04200000059790909,0.04779944981464723,1.0
1020000,1.0854168,-0.0007021684,0.00023594263,2.265098e-06,0.06983079,0.0002698637,0.18995455,0.00899646,0.07258862,0.14684954,None,None,None,None,1.0
1050000,1.2689409,-0.0010391641,0.00055748783,3.1895397e-07,0.068115726,0.0002689421,0.18964736,0.008965771,0.06935643,0.19770762,None,None,None,None,1.0
