Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
120000,0.008137552,1.4864663,0.00018501887,0.07191943,0.00029682048,0.19894016,0.009894121,9999.0,0.02290909180671654,0.02290909180671654,1.0
150000,-0.0021566213,1.4279035,3.243957e-05,0.07216039,0.00029593921,0.19864641,0.009864775,None,0.02400000102352351,0.02400000102352351,1.0
180000,-0.0064496137,1.4968696,0.000300933,0.069750115,0.00029506366,0.19835456,0.00983562,None,None,None,1.0
210000,-0.0098367045,1.4464308,3.5732402e-05,0.0693475,0.00029414208,0.19804735,0.009804931,None,None,None,1.0
240000,-0.0021975623,1.3763858,4.3389588e-05,0.06950006,0.00029322048,0.19774017,0.0097742425,9999.0,0.0600000020137734,0.0600000020137734,1.0
270000,-0.008648134,1.3561307,0.00017557264,0.06884393,0.00029233922,0.1974464,0.009744894,None,0.04700000211596489,0.04700000211596489,1.0
300000,-0.00024229604,1.3674614,0.00013804503,0.066821694,0.0002914637,0.19715455,0.009715741,None,None,None,1.0
330000,0.00012562134,1.3944763,1.1629938e-07,0.06571515,0.00029054208,0.19684736,0.009685052,None,None,None,1.0
360000,-0.0005771048,1.4761184,7.979793e-06,0.067675665,0.00028962048,0.19654015,0.009654363,9999.0,0.04327272848141464,0.04327272848141464,1.0
390000,-0.0009696883,1.398708,5.5357632e-05,0.07006607,0.00028873922,0.1962464,0.009625015,None,0.06000000180210918,0.06000000180210918,1.0
420000,-0.0009766781,1.461518,3.8646554e-05,0.07186507,0.00028786372,0.19595456,0.009595861,None,None,None,1.0
450000,-0.0040494655,1.4889567,8.9769503e-07,0.06909002,0.00028694206,0.19564736,0.009565172,None,None,None,1.0
480000,-0.00511663,1.4531021,0.00014023049,0.06914782,0.00028602048,0.19534016,0.009534481,9999.0,0.06690909269011834,0.06690909269011834,1.0
510000,-0.0014161323,1.388899,3.2648026e-05,0.07119476,0.0002851392,0.19504641,0.009505134,None,0.05700000131037086,0.05700000131037086,1.0
540000,0.000981936,1.3371395,6.795845e-06,0.07233896,0.0002842637,0.19475457,0.009475979,None,None,None,1.0
570000,0.003933889,1.2612582,4.7904025e-05,0.06795779,0.00028334212,0.19444735,0.009445292,None,None,None,1.0
600000,0.0012443288,1.2692208,1.1489858e-07,0.06637205,0.0002824205,0.19414017,0.009414601,9999.0,0.06518182009246877,0.06518182009246877,1.0
630000,0.00027379728,1.0271773,1.7060556e-05,0.07261267,0.0002815392,0.1938464,0.009385254,None,0.06300000171177089,0.06300000171177089,1.0
660000,0.00012462739,1.1629093,3.9304687e-05,0.06720034,0.0002806637,0.19355457,0.009356101,None,None,None,1.0
690000,0.0009841891,1.322481,8.901648e-06,0.06773924,0.0002797421,0.19324735,0.009325411,None,None,None,1.0
