Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
120000,-0.0023699754,2.459052,0.00016989847,0.06921445,0.00029682048,0.19894016,0.009894121,9999.0,-0.6547090171238366,-0.6547090171238366,1.0
150000,0.00048694407,2.1691296,6.859096e-05,0.07188439,0.00029593921,0.19864641,0.009864775,None,-0.6736999221611768,-0.6736999221611768,1.0
180000,-0.009971649,1.7066013,7.154382e-05,0.070560195,0.00029506366,0.19835456,0.00983562,None,None,None,1.0
210000,-0.008167383,1.4087222,0.00012245274,0.06834391,0.00029414208,0.19804735,0.009804931,None,None,None,1.0
240000,-0.0030235494,1.2174484,9.414985e-05,0.06593954,0.00029322048,0.19774017,0.0097742425,9999.0,-0.1717363538753654,-0.1717363538753654,1.0
270000,-0.002320321,1.1748815,0.0001147897,0.07035644,0.00029233922,0.1974464,0.009744894,None,-0.15019999157084385,-0.15019999157084385,1.0
300000,-0.0016001066,1.0324417,1.726861e-05,0.070454285,0.0002914637,0.19715455,0.009715741,None,None,None,1.0
330000,-0.0012055333,1.0268182,3.961694e-05,0.06823343,0.00029054208,0.19684736,0.009685052,None,None,None,1.0
360000,0.0047863536,0.8575583,2.5844283e-05,0.07043256,0.00028962048,0.19654015,0.009654363,9999.0,-0.04037272535523781,-0.04037272535523781,1.0
390000,0.004263337,1.0535874,0.0004303301,0.06844354,0.00028873922,0.1962464,0.009625015,None,-0.050199997232994065,-0.050199997232994065,1.0
420000,0.0014616952,0.89920086,3.339869e-07,0.07160203,0.00028786372,0.19595456,0.009595861,None,None,None,1.0
450000,0.00087373855,0.9176378,3.9780716e-05,0.069521025,0.00028694206,0.19564736,0.009565172,None,None,None,1.0
480000,0.0005329156,1.0031484,1.2016106e-07,0.06822751,0.00028602048,0.19534016,0.009534481,9999.0,-0.012372726679049347,-0.012372726679049347,1.0
510000,0.0014614377,1.0669467,1.8627195e-06,0.07007375,0.0002851392,0.19504641,0.009505134,None,-0.012899999317596667,-0.012899999317596667,1.0
540000,0.00013767935,1.0543212,3.315221e-05,0.064447284,0.0002842637,0.19475457,0.009475979,None,None,None,1.0
570000,-0.00035274922,1.0809833,8.368157e-06,0.0663505,0.00028334212,0.19444735,0.009445292,None,None,None,1.0
600000,0.008548321,0.95658857,1.7853938e-05,0.06844187,0.0002824205,0.19414017,0.009414601,9999.0,-0.006845454063626345,-0.006845454063626345,1.0
630000,0.008587824,0.75197875,0.00015776556,0.06948872,0.0002815392,0.1938464,0.009385254,None,-0.011199999018572271,-0.011199999018572271,1.0
660000,0.0032081448,0.8588869,4.8848647e-06,0.07103787,0.0002806637,0.19355457,0.009356101,None,None,None,1.0
690000,0.00022208742,1.0797441,5.5885794e-06,0.06987475,0.0002797421,0.19324735,0.009325411,None,None,None,1.0
720000,-0.003168615,1.0492698,7.0749556e-06,0.0705954,0.0002788205,0.19294015,0.009294721,9999.0,-0.03544545233704743,-0.03544545233704743,1.0
750000,0.0014843631,0.8516477,6.9052703e-06,0.0704892,0.00027793922,0.1926464,0.009265374,None,-0.01409999866882572,-0.01409999866882572,1.0
780000,0.0013221054,0.71392465,9.050512e-06,0.06830887,0.0002770637,0.19235456,0.009236219,None,None,None,1.0
810000,-0.0011751014,0.6962403,4.808403e-06,0.07053308,0.0002761421,0.19204736,0.00920553,None,None,None,1.0
840000,-0.00022840622,0.8369024,4.5033826e-06,0.06992376,0.0002752205,0.19174016,0.009174841,9999.0,-0.011481817648349203,-0.011481817648349203,1.0
870000,-0.00014243345,0.9397474,7.856506e-05,0.06735186,0.00027433923,0.19144641,0.009145495,None,-0.006599999593163375,-0.006599999593163375,1.0
900000,-0.00069176656,0.9459643,1.9670213e-07,0.07080741,0.0002734637,0.19115455,0.0091163395,None,None,None,1.0
930000,-0.0007248824,0.7907668,3.577387e-06,0.07214893,0.0002725421,0.19084737,0.009085651,None,None,None,1.0
960000,-0.00057385,0.6739179,3.9670294e-06,0.06871434,0.00027162052,0.19054016,0.009054962,9999.0,-0.009309090462259272,-0.009309090462259272,1.0
990000,1.8999774e-05,1.1867987,2.6518194e-06,0.06777618,0.00027073923,0.1902464,0.009025615,None,-0.018599999137222767,-0.018599999137222767,1.0
1020000,5.839761e-05,0.9709329,1.5743108e-06,0.06826117,0.0002698637,0.18995455,0.00899646,None,None,None,1.0
1050000,0.00064640574,1.0221522,2.7268338e-06,0.068758905,0.0002689421,0.18964736,0.008965771,None,None,None,1.0
1080000,0.002941257,0.9976955,9.735673e-06,0.06798665,0.0002680205,0.18934014,0.008935082,9999.0,-0.0360909073788207,-0.0360909073788207,1.0
1110000,-0.00031388627,0.9938458,1.4610408e-05,0.07081846,0.00026713923,0.1890464,0.008905735,None,-0.013999999442603439,-0.013999999442603439,1.0
1140000,0.00015530761,1.0021424,7.75149e-06,0.071885146,0.0002662637,0.18875456,0.00887658,None,None,None,1.0
1170000,-0.0010315664,1.1622868,7.2422426e-07,0.0720295,0.0002653421,0.18844736,0.008845891,None,None,None,1.0
1200000,-0.0021572295,1.0790174,3.3997294e-06,0.07050571,0.0002644205,0.18814015,0.008815202,9999.0,-0.034499998243435664,-0.034499998243435664,1.0
1230000,-0.0018688904,1.1061128,1.5661258e-06,0.07105219,0.00026353923,0.18784639,0.008785855,None,-0.007399999565677717,-0.007399999565677717,1.0
1260000,-0.0026355113,0.9346461,4.128865e-06,0.07060955,0.00026266373,0.18755457,0.0087567,None,None,None,1.0
1290000,-0.0017022669,0.9691014,2.094147e-06,0.06809925,0.00026174207,0.18724737,0.008726011,None,None,None,1.0
1320000,-0.0019870622,0.8426725,4.3520795e-06,0.070473924,0.0002608205,0.18694016,0.008695322,9999.0,-0.028327271061160984,-0.028327271061160984,1.0
1350000,-0.0017111381,0.8044786,2.370091e-05,0.06838776,0.00025993923,0.1866464,0.008665975,None,-0.04499999790277798,-0.04499999790277798,1.0
1380000,-0.00080655667,0.6193008,4.0140023e-08,0.069313124,0.00025906373,0.18635455,0.00863682,None,None,None,1.0
1410000,-0.00037541857,0.605088,1.9190129e-08,0.065856546,0.0002581421,0.18604735,0.00860613,None,None,None,1.0
1440000,0.00019875925,0.7055603,1.9511556e-07,0.064882696,0.0002572205,0.18574016,0.008575441,9999.0,-0.006672726827673614,-0.006672726827673614,1.0
1470000,0.000764929,0.7161039,1.856353e-06,0.07320716,0.0002563392,0.1854464,0.008546095,None,-0.0028999996939091943,-0.0028999996939091943,1.0
1500000,0.0019223857,0.7492024,5.4927705e-07,0.06900439,0.0002554637,0.18515456,0.00851694,None,None,None,1.0
1530000,0.0008717215,0.6639036,6.792544e-07,0.065995455,0.0002545421,0.18484735,0.008486251,None,None,None,1.0
1560000,-0.0006145664,0.6264675,5.057751e-07,0.0668924,0.00025362047,0.18454015,0.0084555615,9999.0,-0.005781817809541032,-0.005781817809541032,1.0
1590000,-0.0011874879,0.63268566,2.5706258e-06,0.06866808,0.0002527392,0.18424639,0.008426215,None,-0.008699999096279498,-0.008699999096279498,1.0
1620000,-0.00063360797,0.24191941,4.2582517e-08,0.06922297,0.0002518637,0.18395457,0.00839706,None,None,None,1.0
1650000,-0.00025148416,0.28925803,5.7032696e-07,0.06835325,0.0002509421,0.18364736,0.008366371,None,None,None,1.0
