Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
120000,1.9281825,0.012177964,6.3288045,0.6766022,0.07184003,0.00029682048,0.19894016,0.009894121,0.25651443,1.2727737,9999.0,-0.7931635009378872,-0.7931635009378872,230.40122170949525,1.0
150000,1.5516635,0.0051801917,6.118685,3.7430005,0.071993895,0.00029593921,0.19864641,0.009864775,0.2031775,1.118279,None,-0.8117998567176983,-0.8117998567176983,197.50989766418934,1.0
180000,1.2789775,-0.011427664,4.527264,0.0949999,0.0690984,0.00029506366,0.19835456,0.00983562,0.06860556,0.73086554,None,None,None,None,1.0
210000,1.2256374,-0.0102628805,2.4713535,0.014494998,0.070202015,0.00029414208,0.19804735,0.009804931,0.06487026,0.7971748,None,None,None,None,1.0
240000,1.4334723,-0.009486272,1.2364689,0.020027483,0.06965277,0.00029322048,0.19774017,0.0097742425,0.09439516,0.6858942,9999.0,-0.9360179863023487,-0.9360179863023487,211.18300913545218,1.0
270000,1.7823566,-0.019108325,2.0797074,7.2454205,0.06948915,0.00029233922,0.1974464,0.009744894,0.36654633,1.1644219,None,-0.9359998083673418,-0.9359998083673418,214.89294561743736,1.0
300000,1.6377703,-0.015946632,2.7066813,0.029169813,0.0704584,0.0002914637,0.19715455,0.009715741,0.21822834,0.7827025,None,None,None,None,1.0
330000,1.8797082,-0.008322746,2.8792393,0.015904015,0.07154952,0.00029054208,0.19684736,0.009685052,0.29400757,0.6922442,None,None,None,None,1.0
360000,1.8990866,-0.0059615793,3.6266084,0.062291197,0.069533736,0.00028962048,0.19654015,0.009654363,0.32030955,0.6410552,9999.0,-0.8065725777467544,-0.8065725777467544,506.5202404992147,1.0
390000,1.6207926,-0.07202575,6.9413233,1.599836,0.068020165,0.00028873922,0.1962464,0.009625015,0.45042652,0.7976363,None,-0.7824998593423516,-0.7824998593423516,557.7124053239822,1.0
420000,1.7415634,-0.018719113,5.3102503,0.024470527,0.0698664,0.00028786372,0.19595456,0.009595861,0.40604123,0.45228833,None,None,None,None,1.0
450000,1.8496101,-0.014049335,4.3275633,0.016641546,0.0717241,0.00028694206,0.19564736,0.009565172,0.36868554,0.35560447,None,None,None,None,1.0
480000,1.9078984,-0.010937401,4.042485,0.06594058,0.06658588,0.00028602048,0.19534016,0.009534481,0.38554946,0.2793328,9999.0,-0.8822089040821249,-0.8822089040821249,508.57476656545293,1.0
510000,1.6299609,-0.009942301,7.306869,3.548335,0.06962725,0.0002851392,0.19504641,0.009505134,0.51515734,0.6917295,None,-0.876099813496694,-0.876099813496694,511.4020369052887,1.0
540000,1.5549095,-0.009262051,6.3856974,0.12691227,0.07067986,0.0002842637,0.19475457,0.009475979,0.36037627,1.6153479,None,None,None,None,1.0
570000,1.4057306,-0.017241415,4.737859,0.050932147,0.07108367,0.00028334212,0.19444735,0.009445292,0.2529593,0.16952148,None,None,None,None,1.0
600000,1.1594048,-0.016184976,3.7680585,0.03492936,0.067490816,0.0002824205,0.19414017,0.009414601,0.2143592,1.1034765,9999.0,-0.9231452593706887,-0.9231452593706887,456.36228526451373,1.0
630000,1.5927397,-0.0039764326,2.6642375,0.75826705,0.06877462,0.0002815392,0.1938464,0.009385254,0.34382918,0.9794802,None,-0.8845998178003356,-0.8845998178003356,552.067708671093,1.0
660000,1.87888,-0.0077592665,4.471175,0.06643896,0.07035358,0.0002806637,0.19355457,0.009356101,0.19217514,0.2549151,None,None,None,None,1.0
690000,2.041139,-0.007586365,3.4644563,0.042613253,0.06810243,0.0002797421,0.19324735,0.009325411,0.10834984,0.20632486,None,None,None,None,1.0
