Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
120000,1.9904764,0.0017565811,3.1835632,0.16553232,0.06965934,0.00029682048,0.19894016,0.009894121,0.36490604,0.74336386,9999.0,-0.6932907869287935,-0.6932907869287935,236.61939123814756,1.0
150000,1.9834783,0.0320058,9.06627,8.61771,0.07141141,0.00029593921,0.19864641,0.009864775,0.6274332,1.0595709,None,-0.6626998819410801,-0.6626998819410801,223.3336824476719,1.0
180000,1.8170655,1.2436865e-05,6.4242363,0.11432062,0.06941667,0.00029506366,0.19835456,0.00983562,0.34603617,0.5915729,None,None,None,None,1.0
210000,1.2079097,-0.00784985,4.8997903,0.08738713,0.07017596,0.00029414208,0.19804735,0.009804931,0.28695276,0.40419364,None,None,None,None,1.0
240000,1.3239628,-0.009847156,4.4199038,0.031969633,0.072985545,0.00029322048,0.19774017,0.0097742425,0.29358912,0.5407356,9999.0,-0.7690725679064847,-0.7690725679064847,603.4361951296979,1.0
270000,1.9931185,-0.018437898,6.4336004,0.38428813,0.06993678,0.00029233922,0.1974464,0.009744894,0.38891426,0.85710037,None,-0.8024998186156154,-0.8024998186156154,530.4076582789421,1.0
300000,2.1643903,-0.009344447,5.5524883,0.024855208,0.06925089,0.0002914637,0.19715455,0.009715741,0.43609104,0.5426108,None,None,None,None,1.0
330000,2.005058,-0.0112517765,5.74943,0.0750602,0.07164909,0.00029054208,0.19684736,0.009685052,0.5296187,0.36959076,None,None,None,None,1.0
360000,1.9895884,-0.007398788,4.856515,0.034220845,0.0664408,0.00028962048,0.19654015,0.009654363,0.38012004,0.31775856,9999.0,-0.748418049024291,-0.748418049024291,508.36145982417196,1.0
390000,1.4620832,-0.017425558,4.7256517,2.5150993,0.07346937,0.00028873922,0.1962464,0.009625015,0.369321,0.48535618,None,-0.6977998729562387,-0.6977998729562387,500.90127313137054,1.0
420000,1.5146537,-0.009417191,4.2049484,0.03611705,0.071425915,0.00028786372,0.19595456,0.009595861,0.3232035,0.2757316,None,None,None,None,1.0
450000,1.4804204,-0.004486212,4.824237,0.068902485,0.07053045,0.00028694206,0.19564736,0.009565172,0.38644582,0.8695617,None,None,None,None,1.0
480000,1.628544,-0.0033121847,5.069754,0.0280581,0.06974491,0.00028602048,0.19534016,0.009534481,0.3114071,2.2339067,9999.0,-0.6922907489881088,-0.6922907489881088,484.88853990489787,1.0
510000,1.7039212,-0.00783026,3.6431708,0.42113072,0.074494734,0.0002851392,0.19504641,0.009505134,0.31878936,1.6877165,None,-0.6026998378802091,-0.6026998378802091,461.8251122236252,1.0
540000,1.7595434,-0.009042531,3.6440043,0.019605493,0.07064794,0.0002842637,0.19475457,0.009475979,0.23507202,3.9069037,None,None,None,None,1.0
570000,1.7247766,-0.01041532,3.3859165,0.022705104,0.07203202,0.00028334212,0.19444735,0.009445292,0.27585167,0.43384153,None,None,None,None,1.0
600000,1.6717728,-0.009892863,3.0131366,0.018543873,0.06976627,0.0002824205,0.19414017,0.009414601,0.15031517,0.061997466,9999.0,-0.7919361952226609,-0.7919361952226609,289.8048254305666,1.0
630000,1.6167787,-0.008196024,3.2007449,8.7962265,0.07113879,0.0002815392,0.1938464,0.009385254,0.39264107,0.48467413,None,-0.8325998387299478,-0.8325998387299478,273.415952809155,1.0
660000,1.5174769,-0.0061541796,2.755775,0.13057664,0.07232539,0.0002806637,0.19355457,0.009356101,0.22083633,0.34727433,None,None,None,None,1.0
690000,1.4569044,-0.00274008,3.0235372,0.04547275,0.06987591,0.0002797421,0.19324735,0.009325411,0.21302971,2.6580489,None,None,None,None,1.0
720000,1.4541336,0.0029847943,2.8466797,0.013724634,0.0698697,0.0002788205,0.19294015,0.009294721,0.20720446,0.20323429,9999.0,-0.8696452585810964,-0.8696452585810964,461.16771001978356,1.0
750000,1.4102722,-0.004382266,2.4255505,0.18345213,0.06777856,0.00027793922,0.1926464,0.009265374,0.18352816,0.27488804,None,-0.7427998119965196,-0.7427998119965196,471.48583794385195,1.0
780000,1.4590238,0.003519126,2.1545653,0.03841819,0.06545305,0.0002770637,0.19235456,0.009236219,0.15625593,0.22810121,None,None,None,None,1.0
810000,1.3687317,-0.0037273432,2.2111697,0.01707554,0.07258398,0.0002761421,0.19204736,0.00920553,0.2036624,0.792603,None,None,None,None,1.0
840000,1.2920179,-0.0058322405,2.2928622,0.012184112,0.071952246,0.0002752205,0.19174016,0.009174841,0.14163403,0.29265067,9999.0,-0.7790725517658178,-0.7790725517658178,211.76549323885277,1.0
870000,1.3836033,-0.0010100923,2.2929423,0.37328312,0.06748409,0.00027433923,0.19144641,0.009145495,0.21330757,0.3864068,None,-0.690199802396819,-0.690199802396819,180.74124810099602,1.0
900000,1.3329552,-0.0030932915,2.6205935,0.041744813,0.07047051,0.0002734637,0.19115455,0.0091163395,0.12831812,0.18914834,None,None,None,None,1.0
930000,1.2607822,-0.008886714,1.7851822,0.012752624,0.07000134,0.0002725421,0.19084737,0.009085651,0.112589,0.12891753,None,None,None,None,1.0
960000,1.4086987,-0.006991697,1.8689297,0.014409457,0.06992324,0.00027162052,0.19054016,0.009054962,0.113549925,0.11962523,9999.0,-0.729018027100458,-0.729018027100458,191.98314671929586,1.0
990000,1.5372729,-0.03035905,2.0571086,1.3776317,0.06707127,0.00027073923,0.1902464,0.009025615,0.23522547,0.3336516,None,-0.7508998325793073,-0.7508998325793073,123.64385238289833,1.0
1020000,1.4124429,-0.012491616,2.0142927,0.0073703555,0.070347205,0.0002698637,0.18995455,0.00899646,0.11724708,0.4283029,None,None,None,None,1.0
1050000,1.5549872,-0.008380399,1.3018731,0.004620527,0.069058776,0.0002689421,0.18964736,0.008965771,0.08854234,0.13515261,None,None,None,None,1.0
1080000,1.5439265,-0.012235844,1.2398795,0.007815714,0.06818957,0.0002680205,0.18934014,0.008935082,0.10934249,0.3613533,9999.0,-0.8209089105419646,-0.8209089105419646,208.5634368847717,1.0
1110000,1.4558336,-0.0033236681,2.0270865,0.100508004,0.0713375,0.00026713923,0.1890464,0.008905735,0.25090382,1.5168214,None,-0.9032998005859554,-0.9032998005859554,136.95862513035536,1.0
1140000,1.4262986,-0.008409897,2.5812294,0.016746037,0.06999329,0.0002662637,0.18875456,0.00887658,0.1808028,0.7856196,None,None,None,None,1.0
1170000,1.5001137,-0.009605205,2.0397809,0.009364453,0.071813725,0.0002653421,0.18844736,0.008845891,0.12130912,0.18761674,None,None,None,None,1.0
1200000,1.4648395,-0.007106036,1.2743723,0.004980782,0.071361065,0.0002644205,0.18814015,0.008815202,0.0957837,0.10053249,9999.0,-0.7437543925479986,-0.7437543925479986,189.0100300759077,1.0
1230000,1.4897189,0.0004960183,1.6518371,0.113146834,0.07184822,0.00026353923,0.18784639,0.008785855,0.15306209,0.25994822,None,-0.7633998317178339,-0.7633998317178339,181.1178864389658,1.0
1260000,1.537914,-0.008401086,1.5486625,0.037246384,0.071194805,0.00026266373,0.18755457,0.0087567,0.1268177,0.22082278,None,None,None,None,1.0
1290000,1.7655497,-0.013713267,1.1943853,0.008323239,0.070893995,0.00026174207,0.18724737,0.008726011,0.0958143,0.13082878,None,None,None,None,1.0
1320000,1.723985,-0.011008782,0.87116134,0.013455572,0.0687823,0.0002608205,0.18694016,0.008695322,0.07681616,0.089897394,9999.0,-0.7808543853832155,-0.7808543853832155,141.55870256302032,1.0
1350000,1.6956239,0.0047971816,1.4397409,0.09203729,0.06935074,0.00025993923,0.1866464,0.008665975,0.1404271,0.43704975,None,-0.8283998379483819,-0.8283998379483819,116.48316150903702,1.0
1380000,1.5387065,-0.004503144,1.5665265,0.0057197814,0.07161196,0.00025906373,0.18635455,0.00863682,0.12785661,2.747558,None,None,None,None,1.0
1410000,1.6909615,-0.006027423,2.2198489,0.07115093,0.07489429,0.0002581421,0.18604735,0.00860613,0.23516007,0.33381715,None,None,None,None,1.0
1440000,1.5391316,-0.015203304,7.931883,0.32708254,0.069441155,0.0002572205,0.18574016,0.008575441,0.2229331,0.4947544,9999.0,-0.7584271253594621,-0.7584271253594621,230.7400118058378,1.0
1470000,1.44849,-0.003452393,3.387254,0.79002786,0.07021839,0.0002563392,0.1854464,0.008546095,0.22792856,0.22390379,None,-0.7585998605936766,-0.7585998605936766,198.5990115851164,1.0
1500000,1.3544048,-0.0020767958,2.7163925,0.015188778,0.07066332,0.0002554637,0.18515456,0.00851694,0.11428187,0.16540022,None,None,None,None,1.0
1530000,1.4958091,0.0006852983,3.1607568,0.02804181,0.07192822,0.0002545421,0.18484735,0.008486251,0.09104845,0.1291177,None,None,None,None,1.0
1560000,1.4826877,-0.0073551247,1.672226,0.005673842,0.06863977,0.00025362047,0.18454015,0.0084555615,0.05894803,0.07545879,9999.0,-0.799427127074027,-0.799427127074027,158.453501122919,1.0
1590000,1.218629,-0.0125110485,1.3541747,0.5127293,0.07139549,0.0002527392,0.18424639,0.008426215,0.11545171,0.27457598,None,-0.9077998175052926,-0.9077998175052926,370.90645283460617,1.0
1620000,1.5095965,-0.008193281,1.1453863,0.0023980942,0.06920145,0.0002518637,0.18395457,0.00839706,0.08046958,0.1224648,None,None,None,None,1.0
1650000,1.5802929,-0.008211882,1.0461117,0.004384475,0.0705816,0.0002509421,0.18364736,0.008366371,0.09888972,1.440778,None,None,None,None,1.0
1680000,1.6437054,-0.0066297622,1.0300012,0.006732151,0.0720826,0.0002500205,0.18334016,0.008335683,0.06818545,0.2821384,9999.0,-0.8076361885865811,-0.8076361885865811,142.93109805543315,1.0
1710000,1.3981236,-0.042164788,3.4414556,1.1702605,0.0665312,0.00024913924,0.1830464,0.008306336,0.1256694,0.22378771,None,-0.8246998329414055,-0.8246998329414055,117.96085336059332,1.0
1740000,1.5408139,-0.016442949,1.8079307,0.0071334876,0.07008967,0.00024826368,0.18275455,0.008277181,0.04097113,0.1452836,None,None,None,None,1.0
1770000,1.215177,-0.011152345,0.8889121,0.0046243947,0.06967272,0.0002473421,0.18244736,0.008246492,0.06268268,0.09883182,None,None,None,None,1.0
1800000,1.285731,-0.012011414,0.8111733,0.0019992546,0.0677955,0.0002464205,0.18214014,0.008215802,0.07210509,0.13090664,9999.0,-0.8592270804378628,-0.8592270804378628,149.7501205415888,1.0
1830000,1.519756,-0.011953027,1.373639,0.18990335,0.07106178,0.0002455392,0.1818464,0.008186455,0.10291363,0.15971482,None,-0.8459998003672808,-0.8459998003672808,178.34333476424217,1.0
1860000,1.3372754,-0.013944954,1.6509655,0.006843613,0.07073552,0.0002446637,0.18155456,0.008157301,0.07971107,0.14105454,None,None,None,None,1.0
1890000,1.3530865,-0.0050150007,1.4498569,0.017065557,0.066459805,0.0002437421,0.18124735,0.008126611,0.068344384,0.308278,None,None,None,None,1.0
1920000,1.5490413,0.0025679271,1.9881831,0.009085498,0.07054901,0.00024282052,0.18094015,0.008095922,0.04523153,0.13474768,9999.0,-0.8666907176692885,-0.8666907176692885,91.2566975693811,1.0
