Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
120000,-0.0022725828,1.4304141,0.0003508514,0.06695357,0.00029682048,0.19894016,0.009894121,9999.0,0.7418181618506258,0.7418181618506258,1.0
150000,-0.008604266,1.4624382,0.00016269684,0.06489359,0.00029593921,0.19864641,0.009864775,None,0.6799999792128801,0.6799999792128801,1.0
180000,0.0005233298,1.3949604,3.9535218e-05,0.06851031,0.00029506366,0.19835456,0.00983562,None,None,None,1.0
210000,0.00444731,1.229021,8.7816574e-05,0.07055379,0.00029414208,0.19804735,0.009804931,None,None,None,1.0
240000,-0.0073031653,1.1935325,0.000101986414,0.06605524,0.00029322048,0.19774017,0.0097742425,9999.0,0.2945454472845251,0.2945454472845251,1.0
270000,-0.003224386,1.3502177,3.3470827e-05,0.07185821,0.00029233922,0.1974464,0.009744894,None,0.3299999926239252,0.3299999926239252,1.0
300000,0.00058734976,1.290276,5.425189e-05,0.07156634,0.0002914637,0.19715455,0.009715741,None,None,None,1.0
330000,0.0040165195,1.2486594,9.677278e-05,0.06892417,0.00029054208,0.19684736,0.009685052,None,None,None,1.0
360000,0.011911369,1.2480214,4.3721702e-05,0.07102014,0.00028962048,0.19654015,0.009654363,9999.0,0.6799999790435488,0.6799999790435488,1.0
390000,0.019041434,1.230642,5.11141e-05,0.0696656,0.00028873922,0.1962464,0.009625015,None,0.6099999770522118,0.6099999770522118,1.0
420000,0.034755163,1.0792185,6.600672e-05,0.071344614,0.00028786372,0.19595456,0.009595861,None,None,None,1.0
450000,0.031045651,1.0496905,5.1361672e-05,0.06862949,0.00028694206,0.19564736,0.009565172,None,None,None,1.0
480000,0.009561939,0.78945994,4.8181035e-05,0.06995785,0.00028602048,0.19534016,0.009534481,9999.0,1.6790908388793468,1.6790908388793468,1.0
510000,0.022551328,0.52402246,7.7380275e-05,0.06657898,0.0002851392,0.19504641,0.009505134,None,1.9799999222159386,1.9799999222159386,1.0
540000,0.037649743,0.7470923,7.020795e-05,0.06949554,0.0002842637,0.19475457,0.009475979,None,None,None,1.0
570000,0.021546677,1.0980763,2.1190383e-05,0.06728434,0.00028334212,0.19444735,0.009445292,None,None,None,1.0
600000,0.007208547,1.337101,2.9015402e-05,0.06903162,0.0002824205,0.19414017,0.009414601,9999.0,1.616363549605012,1.616363549605012,1.0
630000,0.035436347,0.80046785,6.305516e-05,0.070982434,0.0002815392,0.1938464,0.009385254,None,1.6999999023973942,1.6999999023973942,1.0
660000,0.02668825,0.5605329,3.7876212e-05,0.06822195,0.0002806637,0.19355457,0.009356101,None,None,None,1.0
690000,0.018718407,0.4241376,7.997654e-05,0.06685609,0.0002797421,0.19324735,0.009325411,None,None,None,1.0
720000,0.0042982255,0.95319706,3.379045e-06,0.068137005,0.0002788205,0.19294015,0.009294721,9999.0,1.5563635409555652,1.5563635409555652,1.0
750000,0.018570641,0.8845512,7.210723e-05,0.07072077,0.00027793922,0.1926464,0.009265374,None,1.4399999119341373,1.4399999119341373,1.0
780000,0.022181874,0.69900084,2.6003929e-05,0.071095236,0.0002770637,0.19235456,0.009236219,None,None,None,1.0
810000,0.042754162,0.60874,4.8069473e-05,0.07139099,0.0002761421,0.19204736,0.00920553,None,None,None,1.0
840000,0.021580804,1.1421885,1.5410329e-05,0.06984915,0.0002752205,0.19174016,0.009174841,9999.0,1.9190908096392045,1.9190908096392045,1.0
870000,0.006106034,1.1950635,2.4048508e-05,0.06991948,0.00027433923,0.19144641,0.009145495,None,1.959999905899167,1.959999905899167,1.0
900000,0.0398978,0.5881485,5.65735e-05,0.069870666,0.0002734637,0.19115455,0.0091163395,None,None,None,1.0
930000,0.028843451,0.9184118,2.144154e-05,0.06823652,0.0002725421,0.19084737,0.009085651,None,None,None,1.0
960000,0.016047347,0.8509362,9.083546e-06,0.067885295,0.00027162052,0.19054016,0.009054962,9999.0,1.4727271871471947,1.4727271871471947,1.0
990000,0.016534489,0.7192213,7.9895035e-05,0.0701821,0.00027073923,0.1902464,0.009025615,None,1.4399999268352985,1.4399999268352985,1.0
1020000,0.019650858,0.94659424,1.834219e-05,0.072157964,0.0002698637,0.18995455,0.00899646,None,None,None,1.0
1050000,0.028721223,0.7095688,3.2742864e-05,0.072056115,0.0002689421,0.18964736,0.008965771,None,None,None,1.0
1080000,0.036321513,0.8316171,4.137478e-05,0.07048245,0.0002680205,0.18934014,0.008935082,9999.0,2.105454444546591,2.105454444546591,1.0
1110000,0.04957531,0.33551115,6.004512e-05,0.06956591,0.00026713923,0.1890464,0.008905735,None,1.889999896287918,1.889999896287918,1.0
1140000,0.04439717,0.49530998,4.172774e-05,0.07264595,0.0002662637,0.18875456,0.00887658,None,None,None,1.0
1170000,0.024140924,0.512746,1.3286636e-05,0.06965579,0.0002653421,0.18844736,0.008845891,None,None,None,1.0
1200000,0.0087317,0.56535923,4.7307126e-06,0.0689847,0.0002644205,0.18814015,0.008815202,9999.0,1.7645453497428785,1.7645453497428785,1.0
1230000,0.024428839,0.5087258,5.2139196e-05,0.07061723,0.00026353923,0.18784639,0.008785855,None,2.0599998515099287,2.0599998515099287,1.0
1260000,0.044787593,0.40293062,5.8228645e-05,0.06755204,0.00026266373,0.18755457,0.0087567,None,None,None,1.0
1290000,0.039214924,0.7914685,2.751461e-05,0.06797943,0.00026174207,0.18724737,0.008726011,None,None,None,1.0
1320000,0.023406504,1.0484511,1.014902e-05,0.0721664,0.0002608205,0.18694016,0.008695322,9999.0,2.739090757783164,2.739090757783164,1.0
1350000,0.019697431,0.7377958,4.5003813e-05,0.07302758,0.00025993923,0.1866464,0.008665975,None,2.8799998816102743,2.8799998816102743,1.0
1380000,0.022085642,0.85298103,5.187295e-06,0.068952985,0.00025906373,0.18635455,0.00863682,None,None,None,1.0
1410000,0.013953596,0.3502429,1.6768177e-05,0.06557514,0.0002581421,0.18604735,0.00860613,None,None,None,1.0
1440000,0.009219188,0.90455246,7.5956827e-06,0.0698024,0.0002572205,0.18574016,0.008575441,9999.0,1.247272665189071,1.247272665189071,1.0
1470000,0.023827188,0.60129464,3.5687117e-05,0.070611134,0.0002563392,0.1854464,0.008546095,None,1.4599999226629734,1.4599999226629734,1.0
1500000,0.042847596,0.3190569,4.7392907e-05,0.06955825,0.0002554637,0.18515456,0.00851694,None,None,None,1.0
1530000,0.08155353,0.45938432,3.6839163e-05,0.06849699,0.0002545421,0.18484735,0.008486251,None,None,None,1.0
1560000,0.02347603,0.54206836,2.7313104e-06,0.067913756,0.00025362047,0.18454015,0.0084555615,9999.0,2.073636254465038,2.073636254465038,1.0
1590000,0.0071579637,0.72946566,6.5452223e-06,0.06876577,0.0002527392,0.18424639,0.008426215,None,2.089999856427312,2.089999856427312,1.0
1620000,0.01845862,0.8233339,2.8333156e-05,0.06643912,0.0002518637,0.18395457,0.00839706,None,None,None,1.0
1650000,0.042392958,0.7224562,4.0433493e-05,0.07171551,0.0002509421,0.18364736,0.008366371,None,None,None,1.0
1680000,0.025530964,0.7075682,3.4892278e-06,0.06630581,0.0002500205,0.18334016,0.008335683,9999.0,1.6427272097630934,1.6427272097630934,1.0
1710000,0.008760439,0.8905108,4.455423e-06,0.067712106,0.00024913924,0.1830464,0.008306336,None,1.549999913200736,1.549999913200736,1.0
1740000,0.0018495887,1.1331062,4.1456737e-08,0.071305215,0.00024826368,0.18275455,0.008277181,None,None,None,1.0
1770000,0.0015367274,1.1378078,4.0425175e-06,0.06993322,0.0002473421,0.18244736,0.008246492,None,None,None,1.0
1800000,0.037687168,0.5108039,5.0690916e-05,0.06882738,0.0002464205,0.18214014,0.008215802,9999.0,1.2445453898134557,1.2445453898134557,1.0
1830000,0.058957476,0.3450859,5.454389e-05,0.06815919,0.0002455392,0.1818464,0.008186455,None,1.3099999204277992,1.3099999204277992,1.0
1860000,0.055815317,0.50710595,3.4869954e-05,0.06995509,0.0002446637,0.18155456,0.008157301,None,None,None,1.0
1890000,0.021229757,0.6979611,1.0821494e-05,0.06879906,0.0002437421,0.18124735,0.008126611,None,None,None,1.0
1920000,0.008584989,0.828338,3.6548922e-06,0.0689361,0.00024282052,0.18094015,0.008095922,9999.0,2.8445452815768393,2.8445452815768393,1.0
1950000,0.02903189,0.9555156,2.4881267e-05,0.06958424,0.00024193924,0.1806464,0.008066575,None,2.0299998950213194,2.0299998950213194,1.0
