Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
180000,0.006251455,0.979611,0.00032870655,0.066724464,0.000295068,0.198356,0.009835764,4999.0,0.0387500005987628,0.0387500005987628,1.0
210000,0.004497261,1.1594627,5.975848e-07,0.06854978,0.00029414496,0.19804832,0.009805026,None,None,None,1.0
240000,0.0080150515,1.3707697,0.000711673,0.07256393,0.00029322194,0.19774064,0.009774289,4999.0,0.050583334329227604,0.050583334329227604,1.0
270000,0.0058395644,1.4099996,7.273214e-07,0.072315305,0.00029234498,0.19744831,0.009745087,None,None,None,1.0
300000,0.0013815339,1.3728833,6.4736685e-07,0.07036684,0.000291468,0.19715598,0.009715884,4999.0,0.022833333981301013,0.022833333981301013,1.0
330000,0.0020168612,1.2491302,5.909727e-05,0.06981504,0.000290545,0.19684832,0.009685147,None,None,None,1.0
360000,0.003632685,1.3969904,7.462174e-05,0.07081559,0.0002896219,0.19654062,0.009654409,4999.0,0.030333334473349776,0.030333334473349776,1.0
390000,0.0011329477,1.3062732,1.95517e-07,0.06817505,0.000288745,0.19624832,0.009625207,None,None,None,1.0
420000,0.0044972985,1.2488741,4.026961e-05,0.0705421,0.000287868,0.19595599,0.009596004,4999.0,0.015166666960188499,0.015166666960188499,1.0
450000,0.0033919727,1.3797671,4.287934e-05,0.06575851,0.00028694497,0.19564831,0.009565267,None,None,None,1.0
480000,0.0011292241,1.3292371,9.6012e-05,0.07036297,0.0002860219,0.19534063,0.009534529,4999.0,0.02250000062243392,0.02250000062243392,1.0
510000,0.00046576126,1.3083884,4.026317e-07,0.0684641,0.00028514498,0.19504832,0.009505327,None,None,None,1.0
540000,0.0010597638,1.2548996,2.5056923e-05,0.07210226,0.000284268,0.194756,0.009476123,4999.0,0.030916667194105685,0.030916667194105685,1.0
570000,0.00354119,1.3604212,2.025088e-05,0.07102974,0.0002833465,0.19444883,0.009445438,None,None,None,1.0
600000,6.164477e-05,1.3127544,0.0001294272,0.071764834,0.00028242194,0.19414064,0.00941465,4999.0,0.043833334561592587,0.043833334561592587,1.0
630000,-0.0006044378,1.1522335,4.8333396e-07,0.069350466,0.00028154498,0.19384831,0.009385447,None,None,None,1.0
660000,0.0011816435,0.9466773,0.00010141484,0.0707098,0.00028066803,0.193556,0.0093562445,4999.0,0.05016666838006737,0.05016666838006737,1.0
690000,0.00215609,1.0961535,1.7580278e-06,0.07155346,0.00027974497,0.1932483,0.009325507,None,None,None,1.0
720000,0.0017928688,1.2696706,3.3638677e-05,0.07047577,0.00027882194,0.19294062,0.009294769,4999.0,0.053916668005210035,0.053916668005210035,1.0
750000,0.0026569038,1.240349,3.910537e-05,0.06903549,0.00027794496,0.1926483,0.009265567,None,None,None,1.0
780000,-0.00017033069,1.0325621,3.3492426e-05,0.07008592,0.00027706803,0.19235599,0.009236364,4999.0,0.06558333496407916,0.06558333496407916,1.0
810000,-0.0007596662,0.93518144,4.434184e-06,0.06706325,0.00027614497,0.19204831,0.009205627,None,None,None,1.0
840000,0.00046164452,0.83351135,1.6928676e-05,0.070849955,0.00027522194,0.19174063,0.009174889,4999.0,0.12791666853202818,0.12791666853202818,1.0
