Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
60000,0.0055722836,0.37884903,4.0910527e-07,0.069442354,0.00029861758,0.19953918,0.009953965,4999.0,0.22281818994617258,0.22281818994617258,1.0
90000,0.0033602028,0.8409723,2.1376361e-07,0.07149644,0.00029773923,0.19924639,0.009924715,None,0.20500000682659447,0.20500000682659447,1.0
120000,0.004509885,0.375086,4.5606686e-07,0.0661496,0.00029686367,0.19895455,0.00989556,4999.0,0.1618181881600652,0.1618181881600652,1.0
150000,0.0049160807,0.39669397,4.8369714e-07,0.070010826,0.00029593921,0.1986464,0.009864775,None,0.182000006781891,0.182000006781891,1.0
180000,0.003710503,0.46947965,3.634477e-07,0.07074912,0.0002950176,0.1983392,0.009834086,4999.0,0.2007272799647498,0.2007272799647498,1.0
210000,0.0034095363,0.67201895,3.341911e-07,0.07099794,0.00029413923,0.1980464,0.009804834,None,0.1720000058412552,0.1720000058412552,1.0
240000,0.0024144256,0.66505533,2.834833e-07,0.06598894,0.0002932637,0.19775458,0.0097756805,4999.0,0.1627272786043415,0.1627272786043415,1.0
270000,0.0046609542,0.43784186,4.582686e-07,0.06772266,0.00029233922,0.1974464,0.009744895,None,0.12900000519584864,0.12900000519584864,1.0
300000,0.0037784653,0.4813583,3.0500462e-07,0.07002983,0.0002914176,0.19713922,0.009714206,4999.0,0.2020000066523525,0.2020000066523525,1.0
330000,0.003505899,0.5076904,4.1705113e-07,0.07011172,0.00029053923,0.19684641,0.009684956,None,0.23300000990275294,0.23300000990275294,1.0
360000,0.0030256347,0.6485875,2.9635447e-07,0.06834437,0.0002896637,0.19655457,0.009655801,4999.0,0.17190909521146255,0.17190909521146255,1.0
390000,0.0041706096,0.47174305,4.9316657e-07,0.06927603,0.0002887392,0.19624639,0.009625015,None,0.11500000429805368,0.11500000429805368,1.0
420000,0.0040243706,0.43729186,3.5821154e-07,0.07297759,0.00028781762,0.19593921,0.009594326,4999.0,0.2074545503974977,0.2074545503974977,1.0
450000,0.0042924024,0.42082155,4.248524e-07,0.07241455,0.0002869392,0.19564639,0.009565074,None,0.17400000453926623,0.17400000453926623,1.0
480000,0.002979007,0.45355463,4.0787577e-07,0.071158454,0.0002860637,0.19535457,0.009535921,4999.0,0.19572727853135968,0.19572727853135968,1.0
510000,0.005049532,0.42130828,4.4678276e-07,0.06952944,0.0002851392,0.1950464,0.009505135,None,0.22600000514648855,0.22600000514648855,1.0
540000,0.004563175,0.4758123,3.7321394e-07,0.06844371,0.0002842176,0.1947392,0.009474446,4999.0,0.22272727905179968,0.22272727905179968,1.0
570000,0.004620897,0.48168296,4.7392555e-07,0.07100871,0.00028333918,0.1944464,0.009445194,None,0.2530000063125044,0.2530000063125044,1.0
600000,0.00360581,0.59985626,3.3245817e-07,0.06903093,0.0002824637,0.19415456,0.009416041,4999.0,0.1923636416587132,0.1923636416587132,1.0
630000,0.0049238265,0.5247451,4.510378e-07,0.066456094,0.0002815392,0.19384642,0.009385255,None,0.25100000691600144,0.25100000691600144,1.0
660000,0.0040102447,0.4680803,3.6186816e-07,0.06977397,0.0002806176,0.1935392,0.009354565,4999.0,0.21554545991503718,0.21554545991503718,1.0
690000,0.005397487,0.41422108,4.39693e-07,0.07247092,0.00027973918,0.1932464,0.009325314,None,0.21400000562425703,0.21400000562425703,1.0
720000,0.0039040386,0.57024115,2.8684795e-07,0.07064638,0.00027886368,0.19295454,0.009296159,4999.0,0.22454545996151865,0.22454545996151865,1.0
750000,0.0044107023,0.4623117,4.6035888e-07,0.07004583,0.00027793922,0.19264641,0.009265375,None,0.20700000692158937,0.20700000692158937,1.0
780000,0.0056492174,0.3228776,4.853899e-07,0.06719667,0.0002770176,0.19233921,0.009234686,4999.0,0.23736364266369492,0.23736364266369492,1.0
810000,0.005103932,0.41530085,3.9808077e-07,0.07270506,0.0002761392,0.19204639,0.0092054345,None,0.2520000111544505,0.2520000111544505,1.0
840000,0.0033969032,0.56602794,3.9271737e-07,0.07151858,0.0002752637,0.19175456,0.009176281,4999.0,0.19400000649462032,0.19400000649462032,1.0
870000,0.0043456717,0.544349,5.0234223e-07,0.07118367,0.00027433923,0.1914464,0.0091454955,None,0.1940000040922314,0.1940000040922314,1.0
