Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
30000,2.6701736,0.048429746,0.3289056,0.0052926266,0.07160041,0.0002995469,0.19984895,0.009984911,0.14043622,2.6643617,999.0,0.16304167131117234,0.16304167131117234,8.404873211557666,1.0
60000,2.484813,0.006223587,1.1343908,0.0046320977,0.06957337,0.0002986913,0.19956377,0.009956421,0.123472884,2.1571777,999.0,0.21177143326827458,0.21177143326827458,13.798793642010008,1.0
90000,2.1784327,0.029428946,1.5908096,0.0050102533,0.06999709,0.0002977922,0.19926408,0.009926479,0.15747498,1.5712337,999.0,0.18756000343710183,0.18756000343710183,17.933413562774657,1.0
120000,1.9816186,0.011228247,1.5521655,0.009249637,0.07347591,0.00029689135,0.19896379,0.00989648,0.15942897,1.1880165,999.0,0.22325715015509298,0.22325715015509298,17.62378955909184,1.0
150000,1.9832628,0.022886604,2.0324008,0.0064724283,0.06974034,0.00029599218,0.19866405,0.009866541,0.19463861,1.1345899,999.0,0.23964000888168813,0.23964000888168813,20.66196988582611,1.0
180000,1.8518397,0.037240017,4.449025,0.076419696,0.0691027,0.00029509133,0.19836377,0.009836541,0.17931485,1.3572222,999.0,0.45394286711567217,0.45394286711567217,26.935679040636334,1.0
210000,1.7779891,0.06656604,3.9710786,0.07575609,0.06877567,0.0002941922,0.19806407,0.009806599,0.1324815,1.1897804,999.0,0.5116800075024366,0.5116800075024366,17.91686616420746,1.0
240000,1.992261,0.04309688,4.0679903,0.043001402,0.068114,0.00029329132,0.19776377,0.0097766,0.17292494,1.0932534,999.0,0.46371428864076736,0.46371428864076736,27.54038597175053,1.0
270000,1.9379596,0.038738698,3.7216387,0.03812236,0.06987015,0.00029239221,0.19746408,0.00974666,0.2775318,0.99002427,999.0,0.46427999787032603,0.46427999787032603,37.59249742031098,1.0
300000,1.8766155,0.030760027,4.3581805,0.044585664,0.067801565,0.00029149133,0.19716378,0.00971666,0.3676702,0.7806518,999.0,0.45148571200801857,0.45148571200801857,50.865029845918926,1.0
330000,1.7121807,0.02991195,4.6981797,0.030515337,0.06953692,0.00029059217,0.19686408,0.009686719,0.33565798,0.59574926,999.0,0.48408000860363243,0.48408000860363243,44.98347491264343,1.0
360000,1.6178935,0.0513829,4.6671724,0.025282074,0.069871254,0.00028969132,0.19656377,0.009656722,0.33708107,0.6259254,999.0,0.4460285768178957,0.4460285768178957,42.381743567330496,1.0
390000,1.4446878,0.028196853,3.9790828,0.0130038755,0.07028727,0.00028879222,0.19626406,0.009626779,0.3093473,0.6208746,999.0,0.4335200017504394,0.4335200017504394,40.14553926467895,1.0
420000,1.4011451,0.011707355,3.6005936,0.0084111495,0.07098248,0.0002878913,0.19596379,0.00959678,0.29408902,0.57012904,999.0,0.377857146714814,0.377857146714814,35.01518812860761,1.0
450000,1.5040777,0.0130731035,3.4671602,0.010503744,0.070947066,0.00028699217,0.19566408,0.00956684,0.27790803,0.5979142,999.0,0.3526400029286742,0.3526400029286742,33.466283864974976,1.0
480000,1.4987377,0.0031968236,3.7565112,0.0091967,0.06897574,0.00028609132,0.19536379,0.00953684,0.31826186,0.5803646,999.0,0.3576571468230603,0.3576571468230603,38.20755036217826,1.0
510000,1.3876971,0.013894054,3.7224374,0.006505928,0.07203577,0.00028519222,0.19506405,0.009506899,0.29959458,0.609303,999.0,0.39088000502437353,0.39088000502437353,34.604362678527835,1.0
540000,1.2130352,0.020052243,3.5679288,0.005258958,0.067803636,0.0002842913,0.19476378,0.0094769,0.27382642,0.4816149,999.0,0.3940285744877266,0.3940285744877266,31.228116846084596,1.0
570000,1.0880414,0.02508437,3.0320146,0.00435663,0.06826737,0.0002833922,0.19446406,0.009446959,0.24842682,0.32625896,999.0,0.3551199994375929,0.3551199994375929,29.011496481895445,1.0
600000,1.1157278,0.015407371,3.022591,0.0047734,0.06902422,0.00028249135,0.19416377,0.00941696,0.2464604,0.3282215,999.0,0.363057144508431,0.363057144508431,29.727506967953275,1.0
630000,1.1685271,0.040209062,2.9027562,0.004114149,0.07215797,0.0002815922,0.19386408,0.00938702,0.24004439,0.42901668,999.0,0.3854000063613057,0.3854000063613057,28.318153042793273,1.0
660000,1.2651757,0.033757806,2.6957026,0.0034554463,0.068613335,0.00028069137,0.19356377,0.00935702,0.22651312,0.460636,999.0,0.32414286172882256,0.32414286172882256,26.16904639516558,1.0
690000,1.3937467,0.035480443,2.5828052,0.0026311125,0.0717258,0.0002797922,0.19326408,0.009327079,0.21938339,0.56543577,999.0,0.3088400058029219,0.3088400058029219,24.272486362457276,1.0
720000,1.4282994,0.03481915,2.6600928,0.002936374,0.07170045,0.00027889133,0.19296376,0.00929708,0.22582111,0.5422412,999.0,0.3352857176646856,0.3352857176646856,25.41477859701429,1.0
750000,1.3757491,0.03707446,2.5466907,0.0029918596,0.07213956,0.00027799222,0.19266406,0.009267139,0.22946064,0.47070265,999.0,0.357760000214912,0.357760000214912,25.759435920715333,1.0
780000,1.3726238,0.033870935,2.7074132,0.004286571,0.06999163,0.00027709134,0.19236377,0.0092371395,0.25021425,0.4675141,999.0,0.37417143172185335,0.37417143172185335,28.61624081134796,1.0
810000,1.4048475,0.031132394,2.665304,0.0034049936,0.07077879,0.00027619218,0.19206408,0.009207199,0.24753127,0.5107234,999.0,0.35424000535160305,0.35424000535160305,28.05693758010864,1.0
840000,1.3674307,0.020689078,2.6998506,0.0025728017,0.07019022,0.00027529136,0.19176377,0.0091772,0.23581555,0.50725365,999.0,0.37217143171666456,0.37217143171666456,27.322373148373195,1.0
870000,1.3491585,0.029077172,2.8821306,0.0039408067,0.068810895,0.00027439222,0.19146407,0.0091472585,0.24320686,0.43396464,999.0,0.3838400034606457,0.3838400034606457,29.020608310699462,1.0
900000,1.372815,0.035171706,2.870559,0.0059601525,0.06923908,0.00027349134,0.1911638,0.009117261,0.24110863,0.41888657,999.0,0.3939142901816272,0.3939142901816272,29.54044313430786,1.0
930000,1.3638526,0.028609697,2.8513832,0.0038521874,0.07245256,0.0002725922,0.19086406,0.00908732,0.26205966,0.40273213,999.0,0.2894800039567053,0.2894800039567053,29.238416233062743,1.0
960000,1.3222468,0.03281039,3.0333343,0.005456564,0.06947964,0.00027169136,0.19056377,0.00905732,0.2604992,0.40023583,999.0,0.41480000209994616,0.41480000209994616,30.41960069452013,1.0
990000,1.4823457,0.032322872,3.1631143,0.010093876,0.072303385,0.0002707922,0.19026408,0.00902738,0.27302665,0.46377462,999.0,0.396400002669543,0.396400002669543,34.078509011268615,1.0
1020000,1.5216726,0.019626318,3.3071811,0.010350233,0.069659375,0.00026989134,0.18996379,0.008997381,0.29393905,0.34943265,999.0,0.20071428914421371,0.20071428914421371,33.82621955190386,1.0
1050000,1.5257692,0.014598261,3.5756109,0.015697021,0.06767447,0.0002689922,0.18966407,0.008967439,0.2829639,0.29467124,999.0,0.21843999957665802,0.21843999957665802,32.5971533536911,1.0
1080000,1.5729009,0.0141169,3.2838168,0.0113485195,0.07026027,0.00026809136,0.18936376,0.00893744,0.27261025,0.23927693,999.0,0.23428571613372437,0.23428571613372437,30.928481105395726,1.0
1110000,1.4912099,0.021037566,3.426448,0.010985693,0.07434343,0.0002671922,0.18906407,0.0089075,0.2809679,0.22548616,999.0,0.2875600076466799,0.2875600076466799,33.341835517883304,1.0
1140000,1.3281423,0.022597821,3.5049734,0.012330162,0.06998969,0.00026629138,0.18876377,0.0088775,0.28125,0.26716092,999.0,0.3358000028479312,0.3358000028479312,34.909091983522686,1.0
