Steps,Policy/Entropy,Environment/Lesson/AdvancedPathFinding,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
30000,0.70615304,0.0,103.88,0.37599432,0.23583247,0.9478207065752058,0.9478207065752058,0.2641782910948751,0.012008163,0.43186983,0.00029955385,0.19985129,0.009985142,0.014932073,0.01684307,1.0
60000,0.9144567,0.0,227.28099173553719,0.253895,0.2622098,0.8252245696987641,0.8252245696987641,0.6438829794297216,0.0024908653,0.44482175,0.00029866313,0.19955437,0.009955483,0.0128031215,0.009019276,1.0
90000,0.9351805,0.0,233.53623188405797,0.24744862,0.3003652,0.823945179912779,0.823945179912779,0.6339171976678901,0.007351532,0.42729872,0.0002977498,0.19924992,0.009925067,0.014956292,0.018658455,1.0
120000,0.7994226,0.0,199.42196531791907,0.3548635,0.4701085,0.8480742815562657,0.8480742815562657,2.093443108967372,0.45962742,0.42482886,0.00029685377,0.19895126,0.00989523,0.046809975,0.039999094,1.0
150000,0.8046937,0.0,175.94857142857143,0.39934215,0.37287173,0.9113485487124134,0.9113485487124134,0.4073501244655708,0.0039737597,0.4406981,0.00029596657,0.19865553,0.009865686,0.011816151,0.0064626634,1.0
180000,0.8401129,0.0,141.7456647398844,0.4099041,0.34078082,0.9021571397781372,0.9021571397781372,0.3480588231581662,0.002909279,0.43040448,0.00029504817,0.1983494,0.0098351035,0.01083688,0.0052922852,1.0
210000,0.9965031,0.0,285.26851851851853,0.27294892,0.315598,0.7950603551827036,0.7950603551827036,0.6706552594430275,0.0021420696,0.4053293,0.00029416152,0.19805385,0.009805579,0.013884327,0.014505193,1.0
240000,0.84315234,0.0,174.54748603351956,0.34220198,0.37486517,0.8742395308041988,0.8742395308041988,0.5100562804443545,0.0030298599,0.43270344,0.00029325535,0.19775179,0.009775402,0.014199992,0.014331517,1.0
270000,0.96987075,0.0,227.11304347826086,0.3167834,0.38786647,0.8365916629632314,0.8365916629632314,0.7025702412550648,0.0028826497,0.43009847,0.00029233927,0.19744644,0.009744896,0.01437907,0.014968482,1.0
300000,0.9631017,0.0,257.4916666666667,0.22527938,0.353764,0.7924941137683492,0.7924941137683492,0.7653142399655483,0.0026701249,0.402931,0.0002914373,0.19714577,0.00971486,0.012721193,0.009394401,1.0
330000,0.8235478,0.0,162.3370786516854,0.38659534,0.36964706,0.8971508248240908,0.8971508248240908,0.3735664213238315,0.0032705662,0.4091563,0.00029055684,0.19685228,0.0096855415,0.0114954645,0.007102293,1.0
360000,0.9412414,0.0,236.1824817518248,0.35125917,0.27734384,0.8297374979318941,0.8297374979318941,0.5478645283865797,0.0026025749,0.4326302,0.00028966222,0.1965541,0.00965575,0.011537373,0.0050577316,1.0
390000,0.78255296,0.0,157.9903381642512,0.40674406,0.30227175,0.8852909954637289,0.8852909954637289,0.41993044268107044,0.0031434817,0.4437261,0.00028876076,0.19625361,0.009625735,0.011663957,0.008074227,1.0
420000,0.6900709,0.0,370.17105263157896,0.3357036,0.34712103,0.7837546446988749,0.7837546446988749,0.6564857912477279,0.0031322236,0.4600271,0.0002878549,0.19595163,0.009595566,0.011052766,0.0075178724,1.0
450000,0.6712718,0.0,632.3076923076923,0.21492901,0.3149124,0.45202422074296256,0.45202422074296256,2.3357014985698643,0.0026798474,0.42016655,0.00028694526,0.19564842,0.009565278,0.014632278,0.09296303,1.0
480000,1.0629505,0.0,593.0444444444445,0.0992866,0.31582618,0.5250872169086274,0.5250872169086274,1.5133974376986636,0.0024169823,0.3666819,0.00028603576,0.19534524,0.0095349895,0.012968127,0.01802401,1.0
510000,1.0102279,0.0,376.6355140186916,0.19314025,0.31020245,0.6679896118716812,0.6679896118716812,1.2010897672471572,0.0038466384,0.3666307,0.0002851048,0.19503495,0.0095039895,0.015022061,0.01740657,1.0
540000,0.9249945,0.0,192.4820143884892,0.32426733,0.33425248,0.8811198506942567,0.8811198506942567,0.5622305145268055,0.0039328495,0.39188904,0.00028422117,0.19474038,0.009474563,0.014663741,0.0136224525,1.0
570000,0.9900509,0.0,246.4351851851852,0.25865906,0.33642274,0.8318072671240027,0.8318072671240027,0.7516275732608682,0.0024459062,0.42552212,0.0002833361,0.19444536,0.009445091,0.015312002,0.021038938,1.0
600000,0.9618504,0.0,228.8840579710145,0.2780089,0.34881163,0.822301455820999,0.822301455820999,0.7833146565512203,0.002696729,0.41669804,0.00028243935,0.19414641,0.009415227,0.015433205,0.013714748,1.0
630000,0.9259309,0.0,198.44137931034481,0.27912074,0.33939996,0.8614335484116485,0.8614335484116485,0.6205443567106206,0.0031317673,0.4423035,0.00028154717,0.19384903,0.00938552,0.014357979,0.012104844,1.0
660000,0.97831696,0.0,285.312,0.2887344,0.31618482,0.7909474064563883,0.7909474064563883,0.856562343915796,0.0028205207,0.39682657,0.0002806483,0.19354942,0.009355588,0.014743545,0.01545971,1.0
690000,0.8993187,0.0,141.76969696969698,0.3788916,0.4329993,0.9056819708108209,0.9056819708108209,0.45987151844188745,0.006382367,0.46655354,0.00027975527,0.19325176,0.009325849,0.017277215,0.040438425,1.0
720000,0.90848756,0.0,226.16666666666666,0.32173303,0.43670863,0.827858274568193,0.827858274568193,0.8282695476918648,0.0030363037,0.4364789,0.00027887485,0.19295828,0.009296531,0.016732287,0.03293379,1.0
750000,0.84271777,0.0,161.75,0.40228227,0.33379897,0.8933563787648653,0.8933563787648653,0.4549091359342825,0.0029814295,0.44189593,0.00027797383,0.19265793,0.009266527,0.013416693,0.014845083,1.0
780000,0.8479624,0.0,153.75263157894736,0.373978,0.31540358,0.9094854128391793,0.9094854128391793,0.4082358202346465,0.0047091623,0.47130802,0.00027705208,0.19235072,0.009235836,0.012725575,0.016588172,1.0
810000,0.7415307,1.0,138.2422680412371,0.39276728,0.30512288,0.9111531552123396,0.9111531552123396,0.4466512220960699,0.003773875,0.41897455,0.00027615688,0.19205229,0.009206022,0.014774645,0.024892468,1.0
840000,0.8135475,1.0,159.22549019607843,0.36153203,0.43156135,0.9311074699475387,0.9311074699475387,0.5073809125852362,0.003389301,0.45149365,0.00027529278,0.19176424,0.00917725,0.015189664,0.02240999,1.0
870000,1.0082091,1.0,372.64473684210526,0.30150023,0.30505326,0.7180797377530532,0.7180797377530532,0.9618384317270939,0.002196442,0.37526816,0.00027436056,0.19145349,0.009146205,0.014198616,0.013528752,1.0
900000,0.94175166,1.0,373.5188679245283,0.28039023,0.2759445,0.7397068513959062,0.7397068513959062,1.0813501532938259,0.002712472,0.4035579,0.0002734352,0.19114503,0.009115391,0.012702467,0.009871586,1.0
930000,0.9748287,1.0,252.80769230769232,0.28664595,0.2981111,0.8384621331052294,0.8384621331052294,0.6678436177882175,0.001725343,0.44366083,0.00027257527,0.19085841,0.009086756,0.012958488,0.010823625,1.0
960000,0.8432342,1.0,239.3049645390071,0.28673577,0.30667558,0.8367399919364188,0.8367399919364188,0.6695152178027287,0.002466743,0.4353317,0.00027164828,0.19054943,0.009055887,0.013788522,0.019952724,1.0
