Steps,Policy/Entropy,Environment/Lesson/SimplePathFinding,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
30000,1.5934652,0.0,-0.0074040336,1.2294279,587.3921568627451,0.15003903,0.43168974,0.00029949725,0.1998324,0.009983259,0.20906037,0.8137964,0.6813804160641588,0.6813804160641588,22.320480535697676,1.0
60000,1.4261743,0.0,0.4515923,3.6922672,142.55963302752295,0.040663954,0.45126626,0.00029870696,0.19956899,0.009956942,0.17890808,0.27737945,0.9290219224466566,0.9290219224466566,6.0460127579015595,1.0
90000,1.5220445,0.0,0.086259805,3.340135,1141.655172413793,0.10133021,0.4053227,0.00029776167,0.1992539,0.009925461,0.16219854,0.19737242,0.08425514194472082,0.08425514194472082,34.57645344323125,1.0
120000,1.4016664,0.0,0.30319777,3.8166876,317.36,0.111092806,0.47603855,0.00029682537,0.1989418,0.009894284,0.17305684,0.20454344,0.8177187921654465,0.8177187921654465,11.786717505027086,1.0
150000,1.3226521,0.0,0.4161589,4.4095287,213.69444444444446,0.06541835,0.42131597,0.00029596032,0.19865343,0.009865476,0.10991383,0.18341024,0.8910601816519543,0.8910601816519543,4.519182623536499,1.0
180000,1.3153504,0.0,0.4729514,3.3659878,147.87692307692308,0.050213993,0.47840473,0.00029503508,0.19834502,0.009834668,0.13866344,0.11296293,0.9019614752193601,0.9019614752193601,3.664128562044135,1.0
210000,1.1477524,0.0,0.59979016,3.1828046,110.28333333333333,0.043857567,0.5041464,0.0002941548,0.19805162,0.009805353,0.09913238,0.08558824,0.9520367363581852,0.9520367363581852,1.8919430858626658,1.0
240000,1.2063161,0.0,0.5440308,2.815226,113.25274725274726,0.059811898,0.5063252,0.0002932646,0.19775487,0.009775711,0.09811322,0.0679862,0.93789891360684,0.93789891360684,2.5217482562644227,1.0
270000,1.2154533,0.0,0.59620345,2.804347,149.32075471698113,0.03331347,0.48366895,0.00029235092,0.19745031,0.009745285,0.07489408,0.08248579,0.9245724599214568,0.9245724599214568,2.237776650034863,1.0
300000,1.2002052,0.0,0.587908,2.4724407,122.19246861924687,0.02770793,0.4981878,0.00029144963,0.1971499,0.009715271,0.0636537,0.060639285,0.9390358624013164,0.9390358624013164,1.6116450560998312,1.0
330000,1.1328663,1.0,0.5988642,2.6867352,79.8638888888889,0.10620785,0.5525315,0.00029055652,0.19685216,0.00968553,0.11266654,0.21690607,0.9615027537933722,0.9615027537933722,1.8661394329849355,1.0
360000,1.0643775,2.0,0.6694613,3.0532975,68.54787234042553,0.009014459,0.50594014,0.0002896549,0.19655162,0.009655508,0.09365845,0.10190061,0.9647756754546553,0.9647756754546553,1.3872158069868346,1.0
390000,1.0615718,2.0,0.33864796,2.245264,449.0175438596491,0.008813398,0.43907264,0.0002887514,0.19625047,0.009625422,0.067001544,0.2737048,0.7022317387163639,0.7022317387163639,5.631033358873711,1.0
420000,1.2728356,2.0,0.1905535,1.7654293,434.859375,0.011406665,0.36378306,0.000287874,0.19595799,0.0095962025,0.07817951,0.2212313,0.6544238722591258,0.6544238722591258,6.463516763786771,1.0
450000,1.3155282,2.0,0.41848072,2.3816862,268.45384615384614,0.021829713,0.41442424,0.00028695323,0.1956511,0.009565544,0.08462633,0.18765348,0.8147071939110756,0.8147071939110756,4.669293696284294,1.0
480000,1.3217909,2.0,0.3149405,2.082195,266.0701754385965,0.0099183265,0.394759,0.00028602473,0.19534157,0.009534623,0.07541504,0.1287132,0.8203693626297487,0.8203693626297487,4.301106738916657,1.0
510000,1.2860209,2.0,0.42649192,2.0068147,173.08130081300814,0.04739469,0.44543383,0.00028514836,0.19504948,0.0095054405,0.077928,0.15078232,0.9058499959225838,0.9058499959225838,2.8213234082437477,1.0
540000,1.2551008,2.0,0.38430482,1.8493716,257.6308724832215,0.009991334,0.41275808,0.00028424276,0.1947476,0.009475284,0.06394156,0.13403144,0.8158602670651592,0.8158602670651592,3.661934679922686,1.0
570000,1.0793079,2.0,0.618758,1.7235527,83.68523676880223,0.008294724,0.4693014,0.00028331304,0.1944377,0.009444324,0.05289022,0.07861474,0.9545777140983513,0.9545777140983513,0.924093931264111,1.0
600000,1.1940701,3.0,0.49725193,1.4873939,154.375,0.00682895,0.42194965,0.00028245634,0.1941521,0.009415795,0.0589829,0.112231985,0.9319263797230516,0.9319263797230516,1.5582085461955677,1.0
630000,1.2311605,3.0,0.33241645,1.5807319,320.3557692307692,0.006931349,0.42667514,0.00028155462,0.19385153,0.009385768,0.061857417,0.120741755,0.7840026483533129,0.7840026483533129,4.237546597764028,1.0
660000,1.2634571,3.0,0.3871876,1.5947005,240.76923076923077,0.00618347,0.44323117,0.00028065583,0.19355193,0.0093558375,0.06004808,0.122386016,0.857701795158891,0.857701795158891,2.7450728745006763,1.0
690000,1.1098161,3.0,0.50442654,1.7096219,112.41666666666667,0.015583891,0.49538648,0.0002797353,0.1932451,0.009325185,0.055554725,0.105679974,0.9322314947902217,0.9322314947902217,1.425289342517224,1.0
720000,1.0989206,3.0,0.47916552,1.4960446,129.2,0.009097957,0.48661557,0.0002788276,0.19294254,0.00929496,0.04953284,0.10302423,0.9265860619603611,0.9265860619603611,1.405130926237182,1.0
