Steps,Policy/Entropy,Environment/Lesson/SimplePathFinding,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
30000,1.504933,0.0,163.31360946745562,0.35481483,1.155045,0.9186863283748212,0.9186863283748212,3.9053050757194896,0.05454634,0.45417774,0.00029951322,0.19983774,0.00998379,0.15593117,0.8398329,1.0
60000,1.3450775,0.0,198.53333333333333,0.4804976,3.2828631,0.9188292621354747,0.9188292621354747,5.626199454311433,0.07081,0.46700028,0.00029867506,0.19955836,0.009955877,0.14763442,0.43602175,1.0
90000,1.4102858,0.0,244.41666666666666,0.4517878,3.500844,0.8482983536774018,0.8482983536774018,8.402676017557988,0.4932218,0.44395307,0.00029778975,0.19926323,0.009926398,0.19370009,0.40423933,1.0
120000,1.3614106,0.0,186.24285714285713,0.47149742,3.8903122,0.901891085918587,0.901891085918587,4.251784023376975,0.10416506,0.47593755,0.0002968437,0.1989479,0.009894894,0.12496795,0.28785044,1.0
150000,1.0850705,0.0,94.92926045016077,0.5584364,4.080662,0.9523825390707878,0.9523825390707878,1.8706151911190578,0.15904506,0.49634215,0.0002959368,0.1986456,0.009864696,0.111356854,0.19063924,1.0
180000,0.9935725,1.0,77.28688524590164,0.6268642,4.7403564,0.9606281327794521,0.9606281327794521,2.6370238373185764,0.26251686,0.46791798,0.0002950466,0.19834886,0.009835051,0.13732775,0.2492918,1.0
210000,1.0269583,2.0,62.75735294117647,0.57742923,3.8584273,0.9687517614326846,0.9687517614326846,1.0840568115121463,0.026018988,0.52229553,0.00029417628,0.19805875,0.009806069,0.07354728,0.34583387,1.0
240000,1.1760422,2.0,226.34640522875816,0.35969526,2.4312112,0.8054346597194671,0.8054346597194671,3.634356552064419,0.01819001,0.5069376,0.00029325674,0.19775224,0.0097754495,0.08819358,0.37929362,1.0
270000,1.2491655,2.0,278.94117647058823,0.23110417,1.8675711,0.8077225443340984,0.8077225443340984,4.465250179463742,0.007915823,0.470784,0.00029236023,0.1974534,0.009745594,0.085144795,0.29836002,1.0
300000,1.2087425,2.0,124.63706563706563,0.4596906,1.8009144,0.923990036592858,0.923990036592858,2.3094534469889725,0.0101066055,0.5265066,0.00029145472,0.19715157,0.00971544,0.09218005,0.14868039,1.0
