Steps,Policy/Entropy,Environment/Lesson/SimplePathFinding,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
30000,1.5893111,0.0,-0.061948054,1.0308495,0.23429348,0.47137114,0.00029947984,0.19982661,0.009982677,0.16594115,0.8214716,583.0652173913044,0.6855714154385385,0.6855714154385385,18.453356707379932,1.0
60000,1.5026182,0.0,0.1584951,2.8436596,0.041862253,0.45414737,0.00029866715,0.19955572,0.009955615,0.16718775,0.39156136,414.96774193548384,0.7868393849242817,0.7868393849242817,12.169302134351296,1.0
90000,1.3760215,0.0,0.302272,3.6874473,0.097381,0.46383387,0.0002977434,0.19924779,0.009924853,0.13534841,0.3682765,257.7835820895522,0.8608503801993621,0.8608503801993621,7.7751394564849,1.0
120000,1.2870046,0.0,0.5124709,3.0657234,0.047631647,0.48079163,0.0002968557,0.1989519,0.009895296,0.12445679,0.32131943,155.6893203883495,0.9211748738227219,0.9211748738227219,3.280578531948804,1.0
150000,1.1774225,0.0,0.5532605,2.8822112,0.04758163,0.45597336,0.00029594774,0.19864921,0.009865058,0.10765066,0.22852808,110.412,0.9479657243636828,0.9479657243636828,2.2170066825835213,1.0
180000,1.1535677,0.0,0.5692,3.2046669,0.077457905,0.4751198,0.00029502486,0.19834161,0.009834327,0.11914972,0.18083698,103.87128712871286,0.9439848475032784,0.9439848475032784,2.263058951406768,1.0
210000,1.0445296,1.0,0.6684515,4.110413,0.1450553,0.46956295,0.00029413056,0.1980435,0.009804547,0.14981104,0.3880217,72.14024390243902,0.9641562498485049,0.9641562498485049,2.4561931739250817,1.0
240000,1.0256807,2.0,0.594269,2.8049889,0.010608207,0.41953442,0.00029326256,0.19775419,0.009775642,0.08282997,0.2609216,86.21031746031746,0.9568880307973582,0.9568880307973582,1.5142716750157386,1.0
270000,1.1124051,2.0,0.18283571,1.6269757,0.018191366,0.4347955,0.00029234754,0.19744918,0.009745171,0.069617555,0.36736077,549.9310344827586,0.4929618051783605,0.4929618051783605,8.20932984369045,1.0
300000,1.2160412,2.0,0.20828688,1.8277032,0.019249177,0.35372087,0.00029145327,0.19715108,0.009715392,0.08738283,0.24603948,396.05263157894734,0.6618467407760682,0.6618467407760682,6.301379857512264,1.0
