Steps,Policy/Entropy,Environment/Lesson/SimplePathFinding,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
30000,1.4979758,0.0,0.3208856,0.8323841,161.2207792207792,0.0315242,0.4360184,0.0002995167,0.19983889,0.009983905,0.12637158,0.9749161,0.917165536282433,0.917165536282433,3.105028001125902,1.0
60000,1.4425205,0.0,0.4408238,2.8490334,228.13475177304966,0.09190439,0.45628434,0.00029865728,0.19955243,0.009955286,0.17817278,0.36880907,0.8872142794941152,0.8872142794941152,6.967635856661945,1.0
90000,1.3219435,0.0,0.5232796,3.2826955,148.45871559633028,0.07270208,0.46068949,0.00029775169,0.19925056,0.009925131,0.18468392,0.2395561,0.9244791632518172,0.9244791632518172,4.196407808749764,1.0
120000,1.2136217,0.0,0.63546365,3.9638858,99.78305084745763,0.14908572,0.50880945,0.00029684033,0.19894677,0.009894782,0.20506313,0.17448579,0.9498417506163771,0.9498417506163771,2.6161210745673387,1.0
150000,1.1203378,1.0,0.65065634,4.8537908,86.82798833819243,0.29603553,0.47052687,0.00029598098,0.19866031,0.009866166,0.23263845,0.6609886,0.9578328459025469,0.9578328459025469,3.4864716306328773,1.0
180000,1.1200266,2.0,0.5827642,4.616799,59.150442477876105,0.05384468,0.5231681,0.00029504063,0.19834687,0.009834852,0.14653817,0.5353745,0.9691530609443654,0.9691530609443654,1.9798786817145677,1.0
210000,1.202552,2.0,0.22342989,3.2649636,535.1,0.06465114,0.4557324,0.00029415076,0.19805023,0.009805218,0.088198036,0.39566356,0.5689653713399401,0.5689653713399401,10.139752166775557,1.0
240000,1.2948468,2.0,0.24231529,2.991113,266.8625954198473,0.10601929,0.39779273,0.00029324394,0.19774798,0.009775023,0.125143,0.3447613,0.8356699137001987,0.8356699137001987,6.298221308995432,1.0
270000,1.2393365,2.0,0.52261186,3.6038976,120.30545454545455,0.04892302,0.45502082,0.00029233948,0.19744651,0.009744905,0.135982,0.24551362,0.9399033411506383,0.9399033411506383,3.423231182651089,1.0
300000,1.1569856,3.0,0.61291045,3.3153539,89.43010752688173,0.021008043,0.4825726,0.00029143255,0.19714417,0.009714703,0.11784349,0.1636439,0.9545777000564731,0.9545777000564731,2.116340695072342,1.0
330000,1.2000695,3.0,0.48782313,2.65768,150.38690476190476,0.017931035,0.46622235,0.0002905442,0.19684805,0.009685121,0.09665557,0.17921364,0.9112011808350947,0.9112011808350947,3.1215798897150706,1.0
360000,1.1880869,3.0,0.51226604,2.5289164,142.5742574257426,0.019347416,0.45613894,0.00028964976,0.1965499,0.009655336,0.09755148,0.113836214,0.9154024231202395,0.9154024231202395,2.755252372808031,1.0
390000,1.1246012,3.0,0.52158225,2.3968375,147.57805907172997,0.2331666,0.46979558,0.0002887671,0.1962557,0.009625943,0.10595088,0.13521013,0.9083198240219519,0.9083198240219519,2.9272872884597243,1.0
420000,1.0792768,3.0,0.5633746,2.1670368,106.03308823529412,0.011486034,0.4702512,0.0002878675,0.19595584,0.009595988,0.07741955,0.08860116,0.939676837886081,0.939676837886081,1.6883260284769623,1.0
450000,1.1491306,3.0,0.45817575,1.9741821,174.6046511627907,0.008597811,0.45086595,0.00028694829,0.1956494,0.009565378,0.07644965,0.08771024,0.8831541140070733,0.8831541140070733,2.758915938612293,1.0
480000,1.1203495,3.0,0.5000873,1.801241,137.4579831932773,0.009187359,0.4794869,0.0002860256,0.19534187,0.009534653,0.07263271,0.064726226,0.9304375524539094,0.9304375524539094,1.9115565419888458,1.0
510000,1.050165,3.0,0.5862774,1.7246822,92.48214285714286,0.008929948,0.5121555,0.0002851338,0.19504459,0.009504954,0.062236078,0.069306,0.9499198585125628,0.9499198585125628,1.3025809703621922,1.0
540000,0.98954,3.0,0.6098278,1.6554253,97.86495176848875,0.007824803,0.5590787,0.00028424268,0.19474757,0.00947528,0.06465484,0.086188845,0.9446794927496264,0.9446794927496264,1.2804125699358595,1.0
570000,1.0639216,4.0,0.54971117,1.4692975,96.6608695652174,0.004774196,0.57183474,0.00028339768,0.19446589,0.009447141,0.051435433,0.07586776,0.9554761905561794,0.9554761905561794,0.9384859494211806,1.0
600000,1.0946906,4.0,0.4616847,1.2910677,181.53684210526316,0.005347273,0.49050477,0.00028245375,0.19415127,0.009415709,0.057020806,0.08676418,0.887757604415326,0.887757604415326,2.1638144666845305,1.0
630000,1.070391,4.0,0.5026465,1.3341376,111.04,0.004499333,0.5257045,0.00028156344,0.19385448,0.009386062,0.053869978,0.06425207,0.9354452561137492,0.9354452561137492,1.2764383724986994,1.0
660000,1.0272589,4.0,0.54473037,1.3966116,123.74368231046931,0.005729926,0.5256459,0.0002806381,0.19354603,0.009355249,0.0596518,0.097271904,0.9282462385700161,0.9282462385700161,1.4830686808843865,1.0
690000,0.97172415,4.0,0.55656177,1.2240782,101.89966555183946,0.0052872747,0.5218289,0.0002797462,0.19324872,0.009325547,0.050071135,0.054934762,0.9441711945055372,0.9441711945055372,1.0892169327869963,1.0
720000,0.96000993,5.0,0.58003724,1.0833243,72.17647058823529,0.003863676,0.5884021,0.0002788818,0.1929606,0.009296763,0.048772678,0.05016713,0.9633988194101679,0.9633988194101679,0.6599491214747801,1.0
750000,1.0625187,5.0,0.46401557,0.97258836,133.62926829268292,0.0036580258,0.50528497,0.00027796396,0.19265464,0.009266199,0.047080927,0.074925706,0.9134671555320714,0.9134671555320714,1.1924009211361408,1.0
780000,0.9684632,5.0,0.516647,0.9833985,104.74516129032259,0.004052466,0.58189434,0.00027705505,0.19235168,0.009235933,0.04058541,0.07004975,0.9325498350158771,0.9325498350158771,0.9068630033245474,1.0
810000,0.9415738,5.0,0.5467981,0.91568136,94.43973941368078,0.003955938,0.5273286,0.00027616392,0.19205464,0.009206258,0.038656082,0.051961757,0.9413722215062068,0.9413722215062068,0.765627629269718,1.0
840000,0.889843,6.0,0.5775673,0.8678559,74.17307692307692,0.0035545707,0.5624369,0.00027526813,0.19175605,0.009176428,0.03780172,0.038322438,0.954128649732298,0.954128649732298,0.5786342000724752,1.0
870000,0.7971768,6.0,0.6041799,0.8369821,55.16475972540046,0.0047807917,0.644158,0.00027439356,0.19146453,0.009147306,0.037743144,0.06295985,0.97244932354839,0.97244932354839,0.45669031395316795,1.0
900000,1.156524,7.0,0.4881779,1.5842409,255.8641975308642,0.20947434,0.4857051,0.0002734863,0.19116208,0.009117094,0.11959777,0.26819625,0.8714506121145355,0.8714506121145355,7.659098341141218,1.0
930000,1.1175027,7.0,0.3432174,1.8165725,419.52,0.047610022,0.42822936,0.00027256744,0.1908558,0.009086493,0.086680345,0.16278504,0.6656558324957823,0.6656558324957823,8.579594725428464,1.0
960000,1.0196217,7.0,0.23311532,1.7786965,906.1212121212121,0.01566871,0.43822187,0.00027165783,0.1905526,0.009056206,0.0908119,0.10506911,0.27121209770892607,0.27121209770892607,17.93861431109183,1.0
990000,1.075981,7.0,0.08237432,1.5589647,1602.842105263158,0.00714683,0.38978216,0.0002707434,0.19024777,0.0090257535,0.063049145,0.0702314,-0.5683778170496225,-0.5683778170496225,20.02883449362384,1.0
1020000,1.1092515,7.0,-0.017035084,1.490168,1698.2941176470588,0.0037545364,0.41941392,0.00026984452,0.18994816,0.008995821,0.059609402,0.097031824,-0.7072684617811128,-0.7072684617811128,23.262696521846873,1.0
1050000,1.1077484,7.0,-0.035252783,1.221359,1403.5,0.0044141314,0.42791796,0.00026895027,0.18965007,0.008966043,0.059707012,0.12342525,-0.3427318563176827,-0.3427318563176827,16.569772562520072,1.0
1080000,1.0887164,7.0,0.023774054,1.4160705,1118.6666666666667,0.005945615,0.44226518,0.00026807122,0.18935709,0.00893677,0.06315907,0.09155473,0.013595977127552032,0.013595977127552032,13.801510366797448,1.0
1110000,1.0520866,7.0,0.047663704,1.4693924,770.6285714285714,0.040628646,0.46300957,0.00026716624,0.18905538,0.008906634,0.085769765,0.111921825,0.3281685509852001,0.3281685509852001,12.02774588380541,1.0
1140000,1.0955592,7.0,0.053927958,1.4135232,986.0357142857143,0.028469525,0.39628837,0.00026626338,0.18875448,0.00887657,0.058796003,0.14594175,0.14303100854158401,0.14303100854158401,15.157360351805028,1.0
1170000,1.1145545,7.0,0.04930664,1.5718888,1157.4193548387098,0.14073443,0.43820298,0.00026535586,0.18845198,0.008846351,0.08394097,0.1579787,0.03641376567297969,0.03641376567297969,16.588799298837266,1.0
1200000,1.1103387,7.0,0.029984647,1.297711,1093.2222222222222,0.015265192,0.40540978,0.00026444133,0.18814711,0.008815896,0.07030102,0.08096293,-0.05977860079812152,-0.05977860079812152,18.345629760995507,1.0
1230000,1.1409938,7.0,0.038199928,1.4431065,1217.8695652173913,0.005474216,0.3595648,0.0002635617,0.18785387,0.008786605,0.050826717,0.09699463,-0.08734586307158072,-0.08734586307158072,16.70148843030135,1.0
1260000,1.1170235,7.0,0.037994027,1.1754491,1153.448275862069,0.0102098435,0.38390213,0.00026264047,0.18754683,0.008755927,0.05327362,0.12616846,-0.1575791936678191,-0.1575791936678191,12.779173497110605,1.0
1290000,1.1084929,7.0,0.11365759,1.2552352,1099.6,0.0057541667,0.40183306,0.00026173203,0.187244,0.008725677,0.059200257,0.097416244,0.18292755993275805,0.18292755993275805,10.550231828001039,1.0
1320000,1.1255168,7.0,0.06605832,1.1644895,1060.7857142857142,0.003914103,0.41482374,0.0002608604,0.18695347,0.00869665,0.053351175,0.07621048,0.04631478532596871,0.04631478532596871,12.455192996947854,1.0
1350000,1.1118002,7.0,0.046406414,1.1547214,983.4814814814815,0.00283506,0.42425615,0.00025995795,0.18665265,0.008666599,0.049591366,0.10927109,0.20058926208210842,0.20058926208210842,10.535440379753709,1.0
1380000,1.1386218,7.0,0.048807554,1.0851293,1137.7241379310344,0.005945618,0.4141467,0.00025904167,0.18634725,0.008636088,0.055575717,0.08847209,0.007996267604607123,0.007996267604607123,11.804187277124988,1.0
1410000,1.1578782,7.0,0.086872734,1.1291025,855.1818181818181,0.0045253714,0.38314655,0.00025817024,0.18605673,0.008607069,0.04746568,0.09554509,0.18904854910714286,0.18904854910714286,8.958126582418169,1.0
1440000,1.1818131,7.0,0.06269312,1.008734,1192.7931034482758,0.0059073996,0.39748704,0.00025726602,0.18575534,0.0085769575,0.04880502,0.120230526,-0.06932310588084735,-0.06932310588084735,10.762083765405874,1.0
1470000,1.2303447,7.0,0.04123134,1.01729,864.9411764705883,0.0037232789,0.4040676,0.00025634872,0.18544956,0.008546411,0.04156132,0.12202671,0.10359115263118464,0.10359115263118464,10.560736513751394,1.0
1500000,1.1902214,7.0,0.16134422,1.0438254,674.8695652173913,0.005813303,0.41582754,0.00025545765,0.18515253,0.008516739,0.04746053,0.09595791,0.4742999824229628,0.4742999824229628,6.113253879360855,1.0
1530000,1.1769357,7.0,0.11356738,1.1657572,706.375,0.0071313297,0.43927377,0.0002545431,0.18484767,0.008486282,0.052814677,0.08256192,0.41302248286083343,0.41302248286083343,8.691539403423667,1.0
1560000,1.125856,7.0,0.008125647,1.0956427,1201.8076923076924,0.011766643,0.4121562,0.00025364207,0.18454735,0.0084562795,0.057206254,0.095639706,-0.05769233419918097,-0.05769233419918097,11.205982259832895,1.0
1590000,1.0545498,7.0,0.018204805,1.1124904,1165.9565217391305,0.09467264,0.3758788,0.00025276912,0.18425637,0.00842721,0.077524886,0.08847445,-0.02717086300253868,-0.02717086300253868,16.60399118391797,1.0
1620000,1.0453794,7.0,-0.021385692,1.3540046,1453.3,0.009642837,0.4449571,0.0002518819,0.18396063,0.008397667,0.05315725,0.06726659,-0.4064714617672421,-0.4064714617672421,22.639045624505904,1.0
1650000,1.1430496,7.0,-0.026600843,1.0814393,1072.2962962962963,0.0065581906,0.39947456,0.00025096507,0.18365502,0.008367135,0.04834705,0.12091577,0.058507672582681365,0.058507672582681365,9.945056840777397,1.0
1680000,1.1287005,7.0,-0.030955108,0.9152577,1197.0384615384614,0.0029311,0.37634614,0.0002500494,0.18334979,0.008336645,0.034620147,0.094272085,-0.1739615651850517,-0.1739615651850517,11.436647792561697,1.0
1710000,1.0967606,7.0,0.059778422,0.9573818,965.0571428571428,0.006232962,0.38066047,0.00024914084,0.18304692,0.00830639,0.046460405,0.098529905,0.205777392031685,0.205777392031685,7.959023317021709,1.0
1740000,1.0976237,7.0,0.045193784,0.9767622,1018.1111111111111,0.007007387,0.38552642,0.0002482379,0.18274595,0.008276321,0.052793738,0.10201448,0.18567185197025537,0.18567185197025537,9.968495273962617,1.0
1770000,1.12687,7.0,0.011830414,1.0479944,1110.8620689655172,0.018241595,0.42973125,0.00024735683,0.18245228,0.008246982,0.05764636,0.14551271,-0.003820717848580459,-0.003820717848580459,13.054728960168772,1.0
1800000,1.0916405,7.0,0.066505596,0.9365318,1184.5,0.0024378435,0.3864366,0.00024645097,0.18215033,0.008216815,0.03686828,0.109508105,-0.12362919251124065,-0.12362919251124065,10.395559528221687,1.0
1830000,1.1492038,7.0,0.086982526,0.7367719,718.6666666666666,0.0030159038,0.3648193,0.0002455544,0.18185146,0.0081869615,0.033521615,0.13200493,0.47360809409135096,0.47360809409135096,4.506623879880519,1.0
