Steps,Policy/Entropy,Environment/Lesson/SimplePathFinding,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
30000,1.531443,0.0,0.24228705,1.2006012,212.03603603603602,0.13715976,0.4527421,0.00029952417,0.1998414,0.009984154,0.18720199,0.9562131,0.8930275175686276,0.8930275175686276,7.090729683569265,1.0
60000,1.5519016,0.0,0.28638393,4.0536118,573.7307692307693,0.14853387,0.43721566,0.00029867855,0.19955952,0.009955996,0.22176334,0.28825527,0.7002509282726161,0.7002509282726161,25.671446024246936,1.0
90000,1.4813112,0.0,0.23851271,4.5320473,372.28735632183907,0.07008487,0.44325402,0.00029775282,0.19925094,0.009925167,0.17739448,0.24029042,0.8034068818750053,0.8034068818750053,13.96698995748128,1.0
120000,1.4444987,0.0,0.20453645,4.2397394,652.25,0.15223417,0.41889793,0.00029685572,0.19895189,0.009895295,0.14633118,0.23533462,0.6337092889602794,0.6337092889602794,20.182766926496527,1.0
150000,1.3925524,0.0,0.2118441,4.6548834,523.0579710144928,0.09150645,0.42900118,0.000295933,0.19864434,0.009864569,0.13110611,0.19136132,0.6216067614949355,0.6216067614949355,18.762624883045586,1.0
180000,1.3405845,0.0,0.43325415,3.8443794,189.8930817610063,0.16607235,0.4613891,0.00029504945,0.19834982,0.009835145,0.12617673,0.1380706,0.8965496637560184,0.8965496637560184,5.26907385347618,1.0
210000,1.2933378,0.0,0.4987453,3.9219193,133.58767772511848,0.06917639,0.43915826,0.00029413123,0.19804372,0.009804568,0.13218465,0.10784506,0.9341071383428893,0.9341071383428893,3.390731666303639,1.0
240000,1.2217312,0.0,0.59623915,3.5726779,104.89516129032258,0.06488241,0.4689906,0.0002932747,0.19775821,0.009776045,0.09820764,0.077679075,0.9490739990770817,0.9490739990770817,2.0462244179844857,1.0
270000,1.2376384,0.0,0.5427265,3.2138033,119.4695340501792,0.07087963,0.46459565,0.00029235816,0.19745277,0.009745527,0.08323132,0.07175366,0.9395866399960398,0.9395866399960398,1.9328576635152424,1.0
300000,1.2344774,1.0,0.5911939,3.1386373,91.71865443425077,0.14955044,0.47536874,0.00029144756,0.19714917,0.009715202,0.105668664,0.19839649,0.9536886773534916,0.9536886773534916,2.022572951215618,1.0
