Steps,Policy/Entropy,Environment/Lesson/PathFinding,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
30000,1.5678046,0.0,0.021554006,0.5420984,0.010398464,0.07019916,9.994756e-05,0.19994757,0.009994761,0.0904946,1.5570886,300.14285714285717,0.6975999833809005,0.6975999833809005,2.400702322471059,1.0
60000,1.3580292,0.0,0.49200556,1.0806471,0.016724389,0.07173752,9.9850506e-05,0.19985053,0.009985065,0.07272936,0.8859411,121.80876494023904,0.8780039786936278,0.8780039786936278,1.730138931408584,1.0
90000,1.2648395,0.0,0.5801645,3.123129,0.071804605,0.069780454,9.9748206e-05,0.19974819,0.009974845,0.16398607,0.4069869,90.14666666666666,0.909986710281071,0.909986710281071,2.593852042236003,1.0
120000,1.21275,0.0,0.57085496,4.9919515,0.20871054,0.06642539,9.964879e-05,0.19964881,0.009964914,0.22103839,0.2794902,86.33944954128441,0.9136605480577603,0.9136605480577603,2.749343831969328,1.0
150000,1.1442976,0.0,0.6097444,6.862392,0.46345678,0.0690085,9.9550634e-05,0.19955064,0.009955109,0.24391744,0.20962515,80.85897435897436,0.9190179908260282,0.9190179908260282,2.7573066306776894,1.0
180000,0.9660863,0.0,0.677125,8.7365675,0.9745684,0.07229804,9.944946e-05,0.19944945,0.0099450005,0.30340442,0.12403674,59.98272552783109,0.9399073353490314,0.9399073353490314,2.2624986191283782,1.0
210000,0.84366673,0.0,0.72759134,10.704296,1.3063412,0.06955619,9.934802e-05,0.19934802,0.009934867,0.2829732,0.10051732,49.27899686520376,0.9508049918829744,0.9508049918829744,1.8403284883303872,1.0
240000,0.77043027,1.0,0.7568995,12.624817,3.5797398,0.07119418,9.9250465e-05,0.19925046,0.0099251205,0.7348903,1.2109188,41.45234708392603,0.9584893328833207,0.9584893328833207,3.97496786946762,1.0
270000,0.64497834,2.0,0.7570302,13.215305,0.71327895,0.0689775,9.914979e-05,0.1991498,0.009915065,0.10798644,0.41618118,30.947791164658636,0.9690733460003962,0.9690733460003962,0.9673780680658344,1.0
300000,0.79561365,2.0,0.11904378,8.573988,0.5033182,0.07101976,9.904778e-05,0.1990478,0.009904875,0.051103696,0.37969998,171.13793103448276,0.8288620597329633,0.8288620597329633,4.499480217695236,1.0
330000,0.87655914,2.0,0.3000481,6.7746058,0.37134933,0.07350744,9.8948025e-05,0.19894803,0.0098949075,0.102076374,0.38077858,252.8221153846154,0.5210971023815756,0.5210971023815756,3.975242870931442,1.0
360000,1.1023636,2.0,0.17396514,4.124768,0.18511711,0.06877493,9.884678e-05,0.19884677,0.009884791,0.082348265,0.35851905,227.1685393258427,0.6601395230133866,0.6601395230133866,4.402701876884283,1.0
390000,1.1684694,2.0,0.32094267,4.1113787,0.27141395,0.06801332,9.874811e-05,0.19874813,0.009874935,0.11911001,0.40155676,202.97448979591837,0.6241477304816845,0.6241477304816845,4.3305492997169495,1.0
420000,1.1413002,2.0,0.5333734,4.252454,0.13917677,0.06815539,9.864922e-05,0.19864921,0.009865058,0.12039002,0.4510717,133.1986531986532,0.8398511736380934,0.8398511736380934,2.8639412323038034,1.0
450000,1.01734,2.0,0.6393496,3.1482108,0.031453107,0.06986019,9.855071e-05,0.1985507,0.009855215,0.109908,0.29265204,69.60050890585242,0.9302225043173031,0.9302225043173031,1.7074880576156595,1.0
480000,0.96042216,2.0,0.6572292,2.745521,0.029404728,0.07033917,9.8451754e-05,0.19845176,0.00984533,0.10499797,0.23103663,77.61383928571429,0.9157999991574107,0.9157999991574107,1.5749764924325498,1.0
510000,0.6665568,2.0,0.7723566,2.8349247,0.011472924,0.0673708,9.835107e-05,0.19835109,0.009835273,0.10855746,0.14561202,41.84525547445256,0.9566764950969794,0.9566764950969794,0.9525034595416845,1.0
540000,0.639943,3.0,0.75196505,2.6809857,0.012586157,0.07135882,9.824964e-05,0.19824967,0.00982514,0.093353726,0.124930464,39.723076923076924,0.9585965868250909,0.9585965868250909,0.8284892477730842,1.0
570000,0.9274116,3.0,0.43746343,2.399995,0.027812535,0.06674952,9.8149954e-05,0.19815,0.009815182,0.07598757,0.16896631,58.865921787709496,0.9464157286487268,0.9464157286487268,1.2328089838115017,1.0
600000,0.85836375,3.0,0.49273968,2.6657512,0.04418239,0.06761008,9.805007e-05,0.1980501,0.0098052025,0.08473573,0.14964639,160.25675675675674,0.7358511710156896,0.7358511710156896,2.5839711714172204,1.0
630000,0.81589705,3.0,0.5901086,2.8120174,0.039392684,0.07255676,9.795132e-05,0.19795133,0.009795338,0.0879953,0.103538044,76.0958904109589,0.9017747228371573,0.9017747228371573,1.4043365951607025,1.0
660000,0.842524,3.0,0.56727743,2.769818,0.032532975,0.06625842,9.78529e-05,0.19785292,0.009785505,0.08337782,0.085333034,80.85093167701864,0.8881372643276031,0.8881372643276031,1.45610259306727,1.0
690000,0.8060288,3.0,0.5282064,2.7101946,0.03245554,0.0696816,9.775017e-05,0.19775017,0.009775241,0.08486307,0.06480043,94.57594936708861,0.8574152828734012,0.8574152828734012,1.6539438683895549,1.0
720000,0.72781193,3.0,0.60451543,2.779562,0.033603065,0.066897586,9.7648255e-05,0.19764826,0.00976506,0.07641282,0.05399744,85.2025974025974,0.8709488338971323,0.8709488338971323,1.3823926917804303,1.0
750000,0.73352385,3.0,0.5813566,2.4028656,0.026142487,0.06774255,9.754923e-05,0.19754925,0.009755169,0.07070239,0.03849826,74.1344537815126,0.9036145210682347,0.9036145210682347,1.1464691468561328,1.0
