Steps,Policy/Entropy,Environment/Lesson/PathFinding,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
30000,1.5676446,0.0,0.17506598,0.52611095,0.024471136,0.070477314,0.00029990112,0.19996704,0.009996707,0.12865241,0.9114742,244.77064220183487,0.7552293457022501,0.7552293457022501,4.624488048118736,1.0
60000,1.3603561,0.0,0.51152265,2.8016856,0.08405296,0.06483039,0.0002997263,0.19990876,0.009990886,0.16379485,0.36063236,124.11555555555556,0.8764027123132981,0.8764027123132981,3.5918544054587636,1.0
90000,1.263686,0.0,0.5942298,4.8366623,0.33058342,0.06858336,0.00029954966,0.19984987,0.009985001,0.19677813,0.18301256,87.6725888324873,0.9115214087725887,0.9115214087725887,2.6016364522015567,1.0
120000,1.0134822,0.0,0.72874975,6.65853,0.34068483,0.07153501,0.00029936942,0.1997898,0.009979001,0.204534,0.10431871,44.93323216995448,0.9549694672340655,0.9549694672340655,1.5060199789759767,1.0
150000,1.1619802,1.0,0.7045095,7.8678374,0.4755837,0.06807157,0.00029918912,0.1997297,0.009972996,0.30720142,0.8117076,65.40371229698376,0.9349926251076883,0.9349926251076883,3.933507524851349,1.0
180000,0.6018215,2.0,0.80520135,6.695762,0.033811826,0.06979925,0.0002990113,0.19967042,0.009967076,0.12840723,0.20609638,34.89251207729468,0.9650337716566783,0.9650337716566783,0.9468574980150266,1.0
210000,0.589395,2.0,0.503881,5.2341304,0.10792725,0.06892484,0.00029882698,0.19960897,0.009960935,0.046220414,0.28696975,54.53012048192771,0.9456586757462896,0.9456586757462896,1.1250853204017806,1.0
240000,0.964588,2.0,0.32997468,3.3438854,0.041806847,0.07096179,0.0002986445,0.19954816,0.009954861,0.07605034,0.28028443,255.40677966101694,0.5512183794173701,0.5512183794173701,3.245754111686657,1.0
270000,0.82772547,2.0,0.6977258,4.2106905,0.057408124,0.06995669,0.0002984676,0.1994892,0.009948971,0.09737746,0.14862294,67.67843137254901,0.9265492164995521,0.9265492164995521,1.3003557815172826,1.0
300000,0.78198665,2.0,0.7282754,3.9186192,0.029694792,0.07230204,0.00029829258,0.19943084,0.0099431425,0.08546837,0.16928355,47.117863720073665,0.951002209720032,0.951002209720032,0.8735137096156828,1.0
330000,0.60937536,3.0,0.79428005,3.5405498,0.01546318,0.07080691,0.00029811074,0.19937025,0.009937087,0.07245127,0.08123621,40.039660056657226,0.9584549819557076,0.9584549819557076,0.6118380950413581,1.0
360000,0.97296745,3.0,0.6452422,2.6025589,0.014930024,0.069411285,0.000297928,0.19930933,0.009931003,0.07278778,0.13262495,53.99132947976879,0.9463960077518072,0.9463960077518072,0.8647101515521988,1.0
390000,0.8451268,3.0,0.64303935,2.253998,0.012992756,0.07294602,0.0002977519,0.19925065,0.009925136,0.07357359,0.087409444,85.78571428571429,0.8845733304634507,0.8845733304634507,1.3045701146125794,1.0
