Steps,Policy/Entropy,Environment/Lesson/PathFinding,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
50010000,0.51614195,15.0,107.69811320754717,0.25545982,0.27331114,0.8954081571831995,0.8954081571831995,0.1922322137908516,0.13694772,0.23713213,0.0001499819,0.14999394,0.0050043953,0.024131186,0.027191197,1.0
50040000,0.7324575,15.0,124.91304347826087,0.07813187,0.25496703,0.8716999907578741,0.8716999907578741,0.28164821809956003,0.002631104,0.41313213,0.00014992635,0.14997543,0.0050025457,0.013922462,0.013703787,1.0
50070000,0.77346087,15.0,410.036036036036,0.07150205,0.28280878,0.26371045190663567,0.26371045190663567,1.3844373260026,0.0029515906,0.37317666,0.00014983353,0.14994451,0.004999454,0.012228454,0.00541472,1.0
50100000,0.8073225,15.0,232.45054945054946,0.1440377,0.21461713,0.719355086738966,0.719355086738966,0.5308118978068612,0.0026849108,0.39459217,0.00014974555,0.14991516,0.004996525,0.0117633445,0.008278347,1.0
50130000,0.8210748,15.0,336.65346534653463,0.11189211,0.2399269,0.4570680634772524,0.4570680634772524,1.0345397032165722,0.0024454133,0.37050775,0.00014965392,0.14988463,0.0049934746,0.01492358,0.020217756,1.0
50160000,0.6968083,15.0,267.4496124031008,0.20843704,0.2330085,0.5995312793223002,0.5995312793223002,0.724872333296212,0.0027119773,0.37787014,0.0001495627,0.14985421,0.004990435,0.011983636,0.005410296,1.0
50190000,0.8451919,15.0,259.0843373493976,0.16785276,0.26405445,0.6140581200462442,0.6140581200462442,0.784337792578045,0.0022646578,0.38228786,0.00014947544,0.14982511,0.0049875304,0.01391976,0.011224804,1.0
50220000,0.8534251,15.0,379.4823529411765,0.09566536,0.28568262,0.36850586226757837,0.36850586226757837,1.1168418641695206,0.0020792054,0.37479645,0.00014938586,0.14979526,0.0049845474,0.013743899,0.014818968,1.0
50250000,0.71932185,15.0,259.68702290076334,0.18422137,0.2635289,0.6039109224802814,0.6039109224802814,0.7615053095446456,0.002315614,0.40427873,0.00014929673,0.14976557,0.0049815797,0.0121013075,0.010373728,1.0
50280000,0.7961722,15.0,266.1515151515151,0.115756854,0.29327142,0.6200772104139375,0.6200772104139375,0.7693490029340333,0.00232901,0.3946741,0.00014920451,0.14973482,0.004978508,0.012288524,0.0061041466,1.0
50310000,0.78019726,15.0,289.4259259259259,0.13636471,0.24369478,0.5940403686119959,0.5940403686119959,0.7108792749126084,0.0024305955,0.4080212,0.00014911266,0.1497042,0.004975449,0.011480885,0.0151107665,1.0
