Steps,Policy/Entropy,Environment/Lesson/PathFinding,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
30000,1.5786196,0.0,400.6,-0.06130737,0.63260186,0.5993999771773815,0.5993999771773815,7.931000139936804,0.028225018,0.06883094,0.00029984114,0.19994706,0.009994709,0.098970555,0.8926723,1.0
60000,1.4199994,0.0,225.8128078817734,0.39908475,2.8534935,0.7741871813835182,0.7741871813835182,6.055526000030082,0.09016247,0.07262327,0.00029954436,0.19984812,0.009984826,0.23312348,0.32015526,1.0
90000,1.2881482,0.0,117.88148148148149,0.5106951,3.9965646,0.8822490675963434,0.8822490675963434,3.2020373056092226,0.1302162,0.06976438,0.00029925545,0.19975181,0.009975205,0.1725631,0.22369489,1.0
120000,1.1735232,0.0,89.24930747922437,0.6122384,6.1730094,0.9104301648516229,0.9104301648516229,2.585989318559123,0.34123084,0.06850578,0.0002989481,0.19964935,0.009964973,0.21696073,0.14644606,1.0
150000,1.0223767,0.0,56.136882129277566,0.69359535,8.525354,0.9433346086147867,0.9433346086147867,1.747139448730941,0.57193756,0.06902576,0.0002986437,0.19954787,0.009954833,0.19340108,0.07944138,1.0
180000,0.87720424,0.0,52.344290657439444,0.6976878,9.513651,0.9479143830296928,0.9479143830296928,1.3485380324394736,0.64632976,0.07223346,0.00029835026,0.19945006,0.009945063,0.15305279,0.0909096,1.0
210000,1.0237418,1.0,65.82630272952854,0.6672885,10.241672,0.9340333330319889,0.9340333330319889,4.2068870150257105,1.0857601,0.073007956,0.00029804904,0.19934972,0.0099350335,0.35601205,1.2857418,1.0
240000,0.41991347,2.0,32.239583333333336,0.8176937,9.71656,0.9677965267028422,0.9677965267028422,0.6782026626987954,0.15912607,0.07102371,0.0002977523,0.19925077,0.00992515,0.072865404,0.1627779,1.0
270000,0.73933274,2.0,26.423529411764704,0.34733674,7.147062,0.9733837122140929,0.9733837122140929,0.6041064439124839,0.2926876,0.070534155,0.00029745538,0.19915178,0.009915263,0.037258927,0.200352,1.0
300000,0.8118518,2.0,224.24034334763948,0.34964415,4.8341217,0.578216292603589,0.578216292603589,2.0674925610231227,0.18860126,0.07181456,0.00029714638,0.19904879,0.009904974,0.05098952,0.21043243,1.0
330000,0.82338834,2.0,92.66857142857143,0.39513585,3.7540934,0.8788682023397071,0.8788682023397071,1.3198300166798465,0.116601706,0.0693446,0.000296849,0.1989497,0.009895071,0.048756428,0.1802821,1.0
360000,0.8196964,2.0,133.16010498687663,0.5745982,3.9425182,0.8378047081422432,0.8378047081422432,1.4518914682624853,0.13206933,0.07213133,0.00029655406,0.19885133,0.00988525,0.06714738,0.115880474,1.0
390000,0.63617945,2.0,46.81642512077295,0.7456397,4.5690813,0.9514247164978245,0.9514247164978245,0.6588493787115667,0.056405675,0.066328056,0.00029624914,0.19874972,0.009875097,0.067553714,0.062117796,1.0
420000,0.6617236,3.0,40.65899581589958,0.7277548,4.606939,0.9599731400424292,0.9599731400424292,0.46281246508448576,0.04870919,0.06862269,0.0002959457,0.19864856,0.0098649915,0.051621504,0.07833081,1.0
450000,0.9645851,3.0,59.291666666666664,0.5441889,3.717403,0.9397735827374009,0.9397735827374009,0.8187826977585847,0.076275945,0.070870504,0.000295648,0.19854935,0.009855078,0.053065743,0.15079619,1.0
480000,0.8292358,3.0,108.27248677248677,0.60002834,4.0793357,0.8255433825746415,0.8255433825746415,1.2159750793503705,0.10569615,0.06992764,0.00029535568,0.19845188,0.009845343,0.057312824,0.0906228,1.0
510000,0.8743037,3.0,88.36334405144694,0.56094694,3.3372476,0.8849620861457843,0.8849620861457843,1.0327336850509146,0.07117319,0.070939735,0.00029505006,0.19835001,0.009835167,0.05460887,0.064348474,1.0
540000,0.83113587,3.0,92.32460732984293,0.64689183,2.4634533,0.8822821640922117,0.8822821640922117,1.0048547701125614,0.028682986,0.07292663,0.00029474575,0.19824861,0.009825034,0.051403873,0.046326183,1.0
570000,0.8074648,3.0,69.48354430379747,0.6498185,2.0766206,0.9178511351724215,0.9178511351724215,0.6944029939042616,0.021774525,0.07346206,0.0002944536,0.19815119,0.009815304,0.044154584,0.04848699,1.0
600000,0.75566196,3.0,67.1219512195122,0.63281953,2.0797138,0.9162476688623429,0.9162476688623429,0.6296849402866952,0.024451898,0.07249453,0.0002941491,0.19804971,0.009805164,0.040441737,0.04819237,1.0
630000,0.7696167,3.0,87.98162729658793,0.60815316,2.0177274,0.8682290846264208,0.8682290846264208,0.7135444717941346,0.028420357,0.070595264,0.0002938436,0.19794787,0.0097949905,0.037735134,0.03857857,1.0
660000,0.88988084,3.0,91.07291666666667,0.54844505,1.7983966,0.8741840232784549,0.8741840232784549,0.7013316289004352,0.027070437,0.06742309,0.00029355095,0.19785033,0.009785247,0.03499159,0.04536026,1.0
690000,0.7996275,3.0,103.36,0.5707314,1.6101993,0.8439820968994388,0.8439820968994388,0.7406107093793927,0.014458643,0.0706061,0.000293257,0.19775233,0.009775458,0.032175623,0.02580558,1.0
720000,0.75761145,3.0,84.51570680628272,0.62746423,1.5058643,0.8922303634359262,0.8922303634359262,0.5472264177512124,0.013455206,0.07111704,0.00029295118,0.19765037,0.009765272,0.032089166,0.041356537,1.0
750000,0.6791006,3.0,65.65750528541226,0.68809485,1.2234725,0.927705283711879,0.927705283711879,0.455617734617465,0.006303808,0.06727033,0.00029264815,0.19754937,0.009755184,0.030920098,0.037775893,1.0
780000,0.6720874,3.0,69.81637717121588,0.66486305,1.0083697,0.9203633625834885,0.9203633625834885,0.42603824332835943,0.006379714,0.070404984,0.0002923528,0.19745092,0.009745349,0.028839257,0.0322298,1.0
810000,0.6256751,3.0,67.31172069825436,0.65770376,0.9620452,0.9149373398538221,0.9149373398538221,0.38002705860668257,0.0055092718,0.07152994,0.00029205604,0.197352,0.009735466,0.026255209,0.031355526,1.0
840000,0.5581115,3.0,71.3171206225681,0.73332125,0.91715145,0.9053210068769492,0.9053210068769492,0.376455842995661,0.004628211,0.07018952,0.00029175216,0.19725074,0.009725346,0.022703918,0.020389633,1.0
870000,0.60981935,3.0,43.85540069686411,0.7555496,0.92355466,0.9527043434847956,0.9527043434847956,0.21182513028707192,0.0048741857,0.07106247,0.0002914483,0.19714944,0.009715228,0.022261309,0.036751024,1.0
900000,0.611609,3.0,57.00356506238859,0.75142807,0.93846095,0.9359156550885944,0.9359156550885944,0.2928309664627358,0.0047660726,0.072819,0.00029115524,0.19705173,0.009705469,0.02441752,0.040786643,1.0
930000,0.5876989,3.0,48.521440823327616,0.759593,0.87545514,0.9445989653980199,0.9445989653980199,0.23765908017165677,0.003962353,0.06804657,0.00029085047,0.19695014,0.009695319,0.022025982,0.039018024,1.0
960000,0.6013132,3.0,58.09225092250922,0.7518369,0.78712124,0.929029829127793,0.929029829127793,0.27744827892898855,0.0036556523,0.06756565,0.00029054657,0.19684884,0.009685201,0.021488348,0.025777534,1.0
