Steps,Policy/Entropy,Environment/Lesson/PathFinding,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
30000,0.31715238,0.0,90.76446280991736,0.602017,0.49198318,0.9092355312641002,0.9092355312641002,0.11289122515244501,0.0025239638,0.07449823,9.999239e-05,0.1999924,0.00999924,0.004435224,0.01046671,1.0
60000,0.519598,0.0,297.9347826086956,0.27263957,0.3215929,0.5497956356924513,0.5497956356924513,0.27544925231284095,0.0012894376,0.07479771,9.9977944e-05,0.19997795,0.009997795,0.0032088165,0.004452217,1.0
90000,0.49642354,0.0,435.5204081632653,0.18055177,0.18581118,0.22989276082245344,0.22989276082245344,0.31809532067728874,0.0013570451,0.06692067,9.996303e-05,0.19996302,0.009996305,0.0022050543,0.003349561,1.0
120000,0.7942064,0.0,286.06666666666666,0.24838859,0.20552571,0.5648134983069187,0.5648134983069187,0.25891925050952547,0.001979389,0.070181556,9.994761e-05,0.19994763,0.009994766,0.0040239547,0.008484253,1.0
150000,0.87254286,0.0,346.00961538461536,0.2197101,0.1762705,0.45043960508872877,0.45043960508872877,0.3296444594348289,0.0020557477,0.06521445,9.993218e-05,0.19993217,0.009993224,0.0042477334,0.008796908,1.0
180000,0.8813842,0.0,258.01020408163265,0.25861573,0.19726293,0.5990632510915095,0.5990632510915095,0.24273692476040476,0.0018212852,0.07013217,9.991739e-05,0.1999174,0.009991748,0.0042252727,0.004300241,1.0
210000,0.8516891,0.0,319.9117647058824,0.24422401,0.17216071,0.49371959020694095,0.49371959020694095,0.3182064929729391,0.0017597921,0.06817944,9.990241e-05,0.19990242,0.009990252,0.004289209,0.0068504973,1.0
240000,0.77273536,0.0,241.3984375,0.3363745,0.17452726,0.641346862190403,0.641346862190403,0.22524976076601888,0.0015978263,0.07098338,9.988749e-05,0.1998875,0.0099887615,0.004285405,0.007859689,1.0
270000,0.7464594,0.0,256.2892561983471,0.31872448,0.17598462,0.6118864233337217,0.6118864233337217,0.25900253797170975,0.0013578547,0.06987111,9.987234e-05,0.19987233,0.009987246,0.004565341,0.006629923,1.0
300000,0.7545366,0.0,251.93333333333334,0.331308,0.18838283,0.6303951109085626,0.6303951109085626,0.24299640253155938,0.001095459,0.068435505,9.985697e-05,0.19985698,0.0099857105,0.0044373996,0.007384417,1.0
330000,0.81116354,0.0,244.67567567567568,0.34538186,0.21392608,0.6471567425104949,0.6471567425104949,0.2638171561637071,0.0013911219,0.06860379,9.984211e-05,0.19984211,0.009984227,0.005166599,0.011085319,1.0
360000,0.8122112,0.0,245.8372093023256,0.3359886,0.21143998,0.6223193654256274,0.6223193654256274,0.3113503898385652,0.0010036923,0.069767736,9.982729e-05,0.1998273,0.009982745,0.0050079813,0.010999926,1.0
390000,0.8258194,0.0,215.23015873015873,0.34471366,0.20722184,0.6479807889461517,0.6479807889461517,0.2636531040668488,0.0010689547,0.070810005,9.9812394e-05,0.19981241,0.009981259,0.0048490656,0.009970925,1.0
420000,0.8243512,0.0,317.8390804597701,0.27399558,0.18262987,0.4910522543571212,0.4910522543571212,0.34628087971544697,0.0011480545,0.06778803,9.97976e-05,0.19979762,0.009979782,0.00452156,0.0075303903,1.0
450000,0.8027069,0.0,285.781512605042,0.3086663,0.1687733,0.5422033711762752,0.5422033711762752,0.29520266343961804,0.0015053799,0.06957336,9.9782774e-05,0.1997828,0.009978299,0.004660927,0.007609123,1.0
480000,0.9108342,0.0,292.9529411764706,0.22030026,0.16957553,0.5325882150846369,0.5325882150846369,0.3389244749375126,0.0014086008,0.068295404,9.97675e-05,0.1997675,0.009976773,0.005056105,0.0143209165,1.0
510000,0.7966074,0.0,305.2268907563025,0.30136868,0.2011867,0.4957316506654024,0.4957316506654024,0.39654280556133015,0.0012896906,0.06739191,9.975211e-05,0.1997521,0.009975237,0.004628283,0.013390856,1.0
540000,0.91781694,0.0,284.9166666666667,0.21914244,0.1836698,0.5483194318496518,0.5483194318496518,0.314012705872301,0.0010541588,0.066313066,9.973732e-05,0.19973733,0.009973758,0.0046118433,0.0098520145,1.0
570000,0.74596334,0.0,310.4436090225564,0.3163858,0.23882553,0.5070151351392269,0.5070151351392269,0.3521517518824884,0.0016279194,0.0683548,9.9722434e-05,0.19972244,0.0099722715,0.004857166,0.010432507,1.0
600000,0.7423612,0.0,223.7280701754386,0.3449052,0.26799974,0.6867438426666093,0.6867438426666093,0.28257880894581605,0.0017361476,0.07268298,9.9707446e-05,0.19970746,0.009970774,0.0054897964,0.012845338,1.0
630000,0.6479522,0.0,221.43046357615893,0.36611006,0.26679456,0.6665085953789831,0.6665085953789831,0.27651384996793027,0.0015521186,0.07089744,9.9692596e-05,0.19969259,0.009969289,0.005448665,0.013007787,1.0
660000,0.6132121,0.0,181.94904458598725,0.42936462,0.25157592,0.7361556872536864,0.7361556872536864,0.21413289710563974,0.0012734184,0.070192315,9.9677716e-05,0.19967772,0.009967804,0.0046750805,0.009498013,1.0
