Steps,Policy/Entropy,Environment/Lesson/SimplePathFinding,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
30000,1.5116518,0.0,0.38567975,0.7434836,189.19108280254778,0.9026299932599068,0.9026299932599068,3.695245209733645,0.06382884,0.7984088,0.00029949864,0.19983287,0.009983304,0.14437811,1.0262904,1.0
60000,1.362869,0.0,0.34981963,2.120708,268.1929824561403,0.851164810359478,0.851164810359478,6.839789537919892,0.11036179,0.7723954,0.00029863618,0.1995454,0.009954585,0.18017656,0.37365207,1.0
90000,1.1762826,0.0,0.21331055,1.8910358,116.8452380952381,0.9388159514633134,0.9388159514633134,2.6908563060272876,0.06678074,1.053182,0.0002977388,0.19924626,0.009924701,0.21745153,0.18070972,1.0
120000,1.116999,0.0,0.17406876,1.8030308,485.0769230769231,0.649692585070928,0.649692585070928,7.919454496215891,0.38115856,0.6238008,0.0002968611,0.19895372,0.009895476,0.11384768,0.18107483,1.0
150000,1.2101586,0.0,0.07501849,1.3721455,153.01030927835052,0.9090274103023679,0.9090274103023679,2.8445336484364447,0.06205574,0.9333082,0.00029595333,0.19865113,0.009865247,0.16277035,0.151928,1.0
180000,1.16199,0.0,0.004743244,1.2706127,127.42028985507247,0.9360660355889572,0.9360660355889572,2.422658972672345,0.08180487,1.0565479,0.00029504148,0.19834718,0.00983488,0.15686849,0.10621263,1.0
210000,1.1930444,0.0,0.022107007,1.1150541,93.62146892655367,0.9528664915739554,0.9528664915739554,1.7242127249690251,0.034311615,0.8612726,0.00029418222,0.19806075,0.009806268,0.10535627,0.11630481,1.0
240000,1.3175151,0.0,0.20962024,0.9665971,242.5287356321839,0.8422257584388271,0.8422257584388271,3.5941511682960336,0.02946156,0.60170406,0.00029321673,0.1977389,0.009774116,0.104600236,0.16101272,1.0
270000,1.1981016,0.0,0.20663041,1.1730006,99.27751196172248,0.9509400905964012,0.9509400905964012,1.6003161440796567,0.021700034,0.88748914,0.0002923614,0.19745381,0.009745634,0.102516234,0.10784713,1.0
300000,1.3557042,0.0,0.11419336,1.1790773,303.55357142857144,0.8251104239536369,0.8251104239536369,4.137844722944757,0.07799145,0.6780323,0.00029144663,0.19714886,0.00971517,0.11954144,0.16144687,1.0
330000,1.3817108,0.0,0.2364216,1.3891809,160.39890710382514,0.9211361071715752,0.9211361071715752,2.3609865135409764,0.022992786,0.8202633,0.00029058545,0.19686183,0.009686494,0.105618626,0.16589701,1.0
